"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response","sketcher_category","response_category"
"[{""page_index"":0,""viewing_time"":21861},{""page_index"":1,""viewing_time"":54439},{""page_index"":2,""viewing_time"":52794},{""page_index"":3,""viewing_time"":37447},{""page_index"":4,""viewing_time"":21352}]","187893","instructions","0","null","187901","68895b4cc3548521ab78eeca","6889b21a6ea84965d1468995","67ef2daa61fea4816e6e8793","","","","","","","",""
"","8872","image-button-response","1","null","197792","68895b4cc3548521ab78eeca","6889b21a6ea84965d1468995","67ef2daa61fea4816e6e8793","2","S13_age4_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S13_age4_trial2.png","4","",""
"","9088","image-button-response","2","null","207391","68895b4cc3548521ab78eeca","6889b21a6ea84965d1468995","67ef2daa61fea4816e6e8793","4","S103_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S103_age9_trial4.png","5","",""
"","7767","image-button-response","3","null","215668","68895b4cc3548521ab78eeca","6889b21a6ea84965d1468995","67ef2daa61fea4816e6e8793","2","S64_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S64_age7_trial2.png","5","",""
"","7106","image-button-response","4","null","223284","68895b4cc3548521ab78eeca","6889b21a6ea84965d1468995","67ef2daa61fea4816e6e8793","5","S83_age8_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S83_age8_trial5.png","5","",""
"","8856","image-button-response","5","null","232646","68895b4cc3548521ab78eeca","6889b21a6ea84965d1468995","67ef2daa61fea4816e6e8793","5","S64_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S64_age7_trial5.png","4","",""
"","10365","image-button-response","6","null","243529","68895b4cc3548521ab78eeca","6889b21a6ea84965d1468995","67ef2daa61fea4816e6e8793","2","S82_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S82_age8_trial2.png","5","",""
"","6560","image-button-response","7","null","250599","68895b4cc3548521ab78eeca","6889b21a6ea84965d1468995","67ef2daa61fea4816e6e8793","4","S63_age7_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S63_age7_trial4.png","5","",""
"","9680","image-button-response","8","null","260797","68895b4cc3548521ab78eeca","6889b21a6ea84965d1468995","67ef2daa61fea4816e6e8793","1","S82_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S82_age8_trial1.png","5","",""
"","11971","image-button-response","9","null","273276","68895b4cc3548521ab78eeca","6889b21a6ea84965d1468995","67ef2daa61fea4816e6e8793","2","S12_age4_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S12_age4_trial2.png","4","",""
