"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response","sketcher_category","response_category"
"[{""page_index"":0,""viewing_time"":44534},{""page_index"":1,""viewing_time"":10357},{""page_index"":2,""viewing_time"":19946},{""page_index"":3,""viewing_time"":5850},{""page_index"":4,""viewing_time"":43587}]","124275","instructions","0","null","124305","68895b4cc3548521ab78eeca","6889b54043a77b9f2d4a92cd","67f2ecf2ef369d872787cfb8","","","","","","","",""
"","8902","image-button-response","1","null","134231","68895b4cc3548521ab78eeca","6889b54043a77b9f2d4a92cd","67f2ecf2ef369d872787cfb8","2","S103_age9_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S103_age9_trial2.png","4","",""
"","7933","image-button-response","2","null","142669","68895b4cc3548521ab78eeca","6889b54043a77b9f2d4a92cd","67f2ecf2ef369d872787cfb8","3","S24_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S24_age5_trial3.png","2","",""
"","6654","image-button-response","3","null","149836","68895b4cc3548521ab78eeca","6889b54043a77b9f2d4a92cd","67f2ecf2ef369d872787cfb8","2","S24_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S24_age5_trial2.png","2","",""
"","6504","image-button-response","4","null","156855","68895b4cc3548521ab78eeca","6889b54043a77b9f2d4a92cd","67f2ecf2ef369d872787cfb8","4","S13_age4_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S13_age4_trial4.png","2","",""
"","12177","image-button-response","5","null","169535","68895b4cc3548521ab78eeca","6889b54043a77b9f2d4a92cd","67f2ecf2ef369d872787cfb8","1","S64_age7_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S64_age7_trial1.png","3","",""
"","7044","image-button-response","6","null","177083","68895b4cc3548521ab78eeca","6889b54043a77b9f2d4a92cd","67f2ecf2ef369d872787cfb8","2","S12_age4_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S12_age4_trial2.png","3","",""
"","4907","image-button-response","7","null","182503","68895b4cc3548521ab78eeca","6889b54043a77b9f2d4a92cd","67f2ecf2ef369d872787cfb8","4","S44_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S44_age6_trial4.png","2","",""
"","3564","image-button-response","8","null","186575","68895b4cc3548521ab78eeca","6889b54043a77b9f2d4a92cd","67f2ecf2ef369d872787cfb8","5","S24_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S24_age5_trial5.png","2","",""
"","4111","image-button-response","9","null","191198","68895b4cc3548521ab78eeca","6889b54043a77b9f2d4a92cd","67f2ecf2ef369d872787cfb8","2","S104_age9_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S104_age9_trial2.png","4","",""
"","5796","image-button-response","10","null","197508","68895b4cc3548521ab78eeca","6889b54043a77b9f2d4a92cd","67f2ecf2ef369d872787cfb8","5","S12_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S12_age4_trial5.png","4","",""
"","20178","image-button-response","11","null","218203","68895b4cc3548521ab78eeca","6889b54043a77b9f2d4a92cd","67f2ecf2ef369d872787cfb8","3","S103_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S103_age9_trial3.png","4","",""
"","6137","image-button-response","12","null","224841","68895b4cc3548521ab78eeca","6889b54043a77b9f2d4a92cd","67f2ecf2ef369d872787cfb8","1","S43_age6_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S43_age6_trial1.png","4","",""
"","6104","image-button-response","13","null","231462","68895b4cc3548521ab78eeca","6889b54043a77b9f2d4a92cd","67f2ecf2ef369d872787cfb8","4","S64_age7_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S64_age7_trial4.png","4","",""
"","4740","image-button-response","14","null","236728","68895b4cc3548521ab78eeca","6889b54043a77b9f2d4a92cd","67f2ecf2ef369d872787cfb8","5","S63_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S63_age7_trial5.png","5","",""
"","4263","image-button-response","15","null","241493","68895b4cc3548521ab78eeca","6889b54043a77b9f2d4a92cd","67f2ecf2ef369d872787cfb8","3","S12_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S12_age4_trial3.png","5","",""
"","6206","image-button-response","16","null","248201","68895b4cc3548521ab78eeca","6889b54043a77b9f2d4a92cd","67f2ecf2ef369d872787cfb8","","","true","false","stimuli/catch_trials/catch_trial.png","0","","1"
"","7036","image-button-response","17","null","255751","68895b4cc3548521ab78eeca","6889b54043a77b9f2d4a92cd","67f2ecf2ef369d872787cfb8","1","S13_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S13_age4_trial1.png","3","",""
"","28760","image-button-response","18","null","285023","68895b4cc3548521ab78eeca","6889b54043a77b9f2d4a92cd","67f2ecf2ef369d872787cfb8","4","S63_age7_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S63_age7_trial4.png","5","",""
"","6335","image-button-response","19","null","291877","68895b4cc3548521ab78eeca","6889b54043a77b9f2d4a92cd","67f2ecf2ef369d872787cfb8","1","S23_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S23_age5_trial1.png","4","",""
"","5353","image-button-response","20","null","297747","68895b4cc3548521ab78eeca","6889b54043a77b9f2d4a92cd","67f2ecf2ef369d872787cfb8","2","S83_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S83_age8_trial2.png","5","",""
"","4234","image-button-response","21","null","302489","68895b4cc3548521ab78eeca","6889b54043a77b9f2d4a92cd","67f2ecf2ef369d872787cfb8","1","S24_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S24_age5_trial1.png","2","",""
"","4281","image-button-response","22","null","307275","68895b4cc3548521ab78eeca","6889b54043a77b9f2d4a92cd","67f2ecf2ef369d872787cfb8","3","S104_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S104_age9_trial3.png","5","",""
