"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response","sketcher_category","response_category"
"[{""page_index"":0,""viewing_time"":228741},{""page_index"":1,""viewing_time"":151765},{""page_index"":2,""viewing_time"":8909},{""page_index"":3,""viewing_time"":2308},{""page_index"":4,""viewing_time"":1500}]","393224","instructions","0","null","393259","68895b4cc3548521ab78eeca","688a037a5ea80e806d1220f1","680bf9db627b9fac31d2efdc","","","","","","","",""
"","9927","image-button-response","1","null","404212","68895b4cc3548521ab78eeca","688a037a5ea80e806d1220f1","680bf9db627b9fac31d2efdc","1","S26_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S26_age5_trial1.png","4","",""
"","21329","image-button-response","2","null","426059","68895b4cc3548521ab78eeca","688a037a5ea80e806d1220f1","680bf9db627b9fac31d2efdc","5","S45_age6_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S45_age6_trial5.png","4","",""
"","8071","image-button-response","3","null","434638","68895b4cc3548521ab78eeca","688a037a5ea80e806d1220f1","680bf9db627b9fac31d2efdc","4","S14_age4_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S14_age4_trial4.png","4","",""
"","9278","image-button-response","4","null","444426","68895b4cc3548521ab78eeca","688a037a5ea80e806d1220f1","680bf9db627b9fac31d2efdc","3","S46_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S46_age6_trial3.png","1","",""
"","2101","image-button-response","5","null","447031","68895b4cc3548521ab78eeca","688a037a5ea80e806d1220f1","680bf9db627b9fac31d2efdc","","","true","false","stimuli/catch_trials/catch_trial.png","0","","1"
"","11865","image-button-response","6","null","459415","68895b4cc3548521ab78eeca","688a037a5ea80e806d1220f1","680bf9db627b9fac31d2efdc","4","S67_age7_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S67_age7_trial4.png","1","",""
"","16672","image-button-response","7","null","476603","68895b4cc3548521ab78eeca","688a037a5ea80e806d1220f1","680bf9db627b9fac31d2efdc","5","S86_age8_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S86_age8_trial5.png","5","",""
"","4996","image-button-response","8","null","482103","68895b4cc3548521ab78eeca","688a037a5ea80e806d1220f1","680bf9db627b9fac31d2efdc","2","S26_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S26_age5_trial2.png","5","",""
"","11279","image-button-response","9","null","493893","68895b4cc3548521ab78eeca","688a037a5ea80e806d1220f1","680bf9db627b9fac31d2efdc","3","S15_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S15_age4_trial3.png","5","",""
"","14056","image-button-response","10","null","508465","68895b4cc3548521ab78eeca","688a037a5ea80e806d1220f1","680bf9db627b9fac31d2efdc","5","S26_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S26_age5_trial5.png","5","",""
