"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response","sketcher_category","response_category"
"[{""page_index"":0,""viewing_time"":14712},{""page_index"":1,""viewing_time"":18895},{""page_index"":2,""viewing_time"":27345},{""page_index"":3,""viewing_time"":11073},{""page_index"":4,""viewing_time"":13912}]","85936","instructions","0","null","85971","68895b4cc3548521ab78eeca","688a93f23f7eeb09fe7cafdb","6824938830c974d9f6915e3c","","","","","","","",""
"","15476","image-button-response","1","null","102474","68895b4cc3548521ab78eeca","688a93f23f7eeb09fe7cafdb","6824938830c974d9f6915e3c","1","S113_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S113_age9_trial1.png","5","",""
"","9222","image-button-response","2","null","112202","68895b4cc3548521ab78eeca","688a93f23f7eeb09fe7cafdb","6824938830c974d9f6915e3c","2","S53_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S53_age6_trial2.png","5","",""
"","9398","image-button-response","3","null","122106","68895b4cc3548521ab78eeca","688a93f23f7eeb09fe7cafdb","6824938830c974d9f6915e3c","2","S32_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S32_age5_trial2.png","4","",""
"","11586","image-button-response","4","null","134201","68895b4cc3548521ab78eeca","688a93f23f7eeb09fe7cafdb","6824938830c974d9f6915e3c","2","S31_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S31_age5_trial2.png","4","",""
"","12381","image-button-response","5","null","147097","68895b4cc3548521ab78eeca","688a93f23f7eeb09fe7cafdb","6824938830c974d9f6915e3c","4","S113_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S113_age9_trial4.png","5","",""
"","7721","image-button-response","6","null","155334","68895b4cc3548521ab78eeca","688a93f23f7eeb09fe7cafdb","6824938830c974d9f6915e3c","1","S53_age6_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S53_age6_trial1.png","5","",""
"","5912","image-button-response","7","null","161757","68895b4cc3548521ab78eeca","688a93f23f7eeb09fe7cafdb","6824938830c974d9f6915e3c","1","S31_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S31_age5_trial1.png","5","",""
"","3997","image-button-response","8","null","166262","68895b4cc3548521ab78eeca","688a93f23f7eeb09fe7cafdb","6824938830c974d9f6915e3c","4","S112_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S112_age9_trial4.png","5","",""
"","3530","image-button-response","9","null","170313","68895b4cc3548521ab78eeca","688a93f23f7eeb09fe7cafdb","6824938830c974d9f6915e3c","3","S90_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S90_age8_trial3.png","5","",""
"","3020","image-button-response","10","null","173844","68895b4cc3548521ab78eeca","688a93f23f7eeb09fe7cafdb","6824938830c974d9f6915e3c","2","S112_age9_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S112_age9_trial2.png","5","",""
"","3168","image-button-response","11","null","177533","68895b4cc3548521ab78eeca","688a93f23f7eeb09fe7cafdb","6824938830c974d9f6915e3c","2","S90_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S90_age8_trial2.png","5","",""
"","2798","image-button-response","12","null","180849","68895b4cc3548521ab78eeca","688a93f23f7eeb09fe7cafdb","6824938830c974d9f6915e3c","2","S111_age9_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S111_age9_trial2.png","5","",""
"","3198","image-button-response","13","null","184555","68895b4cc3548521ab78eeca","688a93f23f7eeb09fe7cafdb","6824938830c974d9f6915e3c","3","S91_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S91_age8_trial3.png","5","",""
"","3850","image-button-response","14","null","188912","68895b4cc3548521ab78eeca","688a93f23f7eeb09fe7cafdb","6824938830c974d9f6915e3c","1","S112_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S112_age9_trial1.png","5","",""
"","3585","image-button-response","15","null","193004","68895b4cc3548521ab78eeca","688a93f23f7eeb09fe7cafdb","6824938830c974d9f6915e3c","5","S52_age6_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S52_age6_trial5.png","5","",""
"","6040","image-button-response","16","null","199557","68895b4cc3548521ab78eeca","688a93f23f7eeb09fe7cafdb","6824938830c974d9f6915e3c","5","S73_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S73_age7_trial5.png","4","",""
"","7985","image-button-response","17","null","208052","68895b4cc3548521ab78eeca","688a93f23f7eeb09fe7cafdb","6824938830c974d9f6915e3c","4","S52_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S52_age6_trial4.png","5","",""
"","5705","image-button-response","18","null","214264","68895b4cc3548521ab78eeca","688a93f23f7eeb09fe7cafdb","6824938830c974d9f6915e3c","3","S111_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S111_age9_trial3.png","5","",""
