"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response"
"[{""page_index"":0,""viewing_time"":3637},{""page_index"":1,""viewing_time"":3682},{""page_index"":2,""viewing_time"":3219},{""page_index"":3,""viewing_time"":2120},{""page_index"":4,""viewing_time"":1540}]","14200","instructions","0","null","14215","689b8a7a4faa850af7a40460","689b953f46b208ac2c41e53f","55bd8669fdf99b5bfc7d4cfc","","","","","",""
"","3499","image-button-response","1","null","18741","689b8a7a4faa850af7a40460","689b953f46b208ac2c41e53f","55bd8669fdf99b5bfc7d4cfc","2","S36_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S36_age5_trial2.png","5"
"","4481","image-button-response","2","null","23734","689b8a7a4faa850af7a40460","689b953f46b208ac2c41e53f","55bd8669fdf99b5bfc7d4cfc","1","S116_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S116_age9_trial1.png","2"
"","2725","image-button-response","3","null","26970","689b8a7a4faa850af7a40460","689b953f46b208ac2c41e53f","55bd8669fdf99b5bfc7d4cfc","1","S38_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S38_age5_trial1.png","2"
"","2473","image-button-response","4","null","29954","689b8a7a4faa850af7a40460","689b953f46b208ac2c41e53f","55bd8669fdf99b5bfc7d4cfc","5","S9_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S9_age4_trial5.png","4"
"","2145","image-button-response","5","null","32611","689b8a7a4faa850af7a40460","689b953f46b208ac2c41e53f","55bd8669fdf99b5bfc7d4cfc","4","S6_age4_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S6_age4_trial4.png","1"
"","2380","image-button-response","6","null","35503","689b8a7a4faa850af7a40460","689b953f46b208ac2c41e53f","55bd8669fdf99b5bfc7d4cfc","4","S59_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S59_age6_trial4.png","4"
"","4752","image-button-response","7","null","40765","689b8a7a4faa850af7a40460","689b953f46b208ac2c41e53f","55bd8669fdf99b5bfc7d4cfc","1","S99_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S99_age8_trial1.png","5"
"","1474","image-button-response","8","null","42751","689b8a7a4faa850af7a40460","689b953f46b208ac2c41e53f","55bd8669fdf99b5bfc7d4cfc","5","S7_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S7_age4_trial5.png","5"
"","1447","image-button-response","9","null","44708","689b8a7a4faa850af7a40460","689b953f46b208ac2c41e53f","55bd8669fdf99b5bfc7d4cfc","5","S117_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S117_age9_trial5.png","5"
"","1433","image-button-response","10","null","46653","689b8a7a4faa850af7a40460","689b953f46b208ac2c41e53f","55bd8669fdf99b5bfc7d4cfc","3","S95_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S95_age8_trial3.png","5"
"","2208","image-button-response","11","null","49371","689b8a7a4faa850af7a40460","689b953f46b208ac2c41e53f","55bd8669fdf99b5bfc7d4cfc","2","S76_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S76_age7_trial2.png","5"
"","1574","image-button-response","12","null","51454","689b8a7a4faa850af7a40460","689b953f46b208ac2c41e53f","55bd8669fdf99b5bfc7d4cfc","1","S117_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S117_age9_trial1.png","5"
"","2112","image-button-response","13","null","54077","689b8a7a4faa850af7a40460","689b953f46b208ac2c41e53f","55bd8669fdf99b5bfc7d4cfc","5","S59_age6_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S59_age6_trial5.png","4"
"","1775","image-button-response","14","null","56362","689b8a7a4faa850af7a40460","689b953f46b208ac2c41e53f","55bd8669fdf99b5bfc7d4cfc","3","S80_age7_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S80_age7_trial3.png","5"
"","1585","image-button-response","15","null","58457","689b8a7a4faa850af7a40460","689b953f46b208ac2c41e53f","55bd8669fdf99b5bfc7d4cfc","5","S40_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S40_age5_trial5.png","5"
"","1893","image-button-response","16","null","60861","689b8a7a4faa850af7a40460","689b953f46b208ac2c41e53f","55bd8669fdf99b5bfc7d4cfc","1","S3_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S3_age4_trial1.png","4"
"","1682","image-button-response","17","null","63052","689b8a7a4faa850af7a40460","689b953f46b208ac2c41e53f","55bd8669fdf99b5bfc7d4cfc","3","S59_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S59_age6_trial3.png","4"
"","1691","image-button-response","18","null","65253","689b8a7a4faa850af7a40460","689b953f46b208ac2c41e53f","55bd8669fdf99b5bfc7d4cfc","3","S38_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S38_age5_trial3.png","4"
"","1469","image-button-response","19","null","67233","689b8a7a4faa850af7a40460","689b953f46b208ac2c41e53f","55bd8669fdf99b5bfc7d4cfc","4","S57_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S57_age6_trial4.png","5"
"","1533","image-button-response","20","null","69273","689b8a7a4faa850af7a40460","689b953f46b208ac2c41e53f","55bd8669fdf99b5bfc7d4cfc","4","S77_age7_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S77_age7_trial4.png","5"
"","1597","image-button-response","21","null","71381","689b8a7a4faa850af7a40460","689b953f46b208ac2c41e53f","55bd8669fdf99b5bfc7d4cfc","1","S77_age7_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S77_age7_trial1.png","5"
"","2222","image-button-response","22","null","74112","689b8a7a4faa850af7a40460","689b953f46b208ac2c41e53f","55bd8669fdf99b5bfc7d4cfc","3","S9_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S9_age4_trial3.png","5"
"","1464","image-button-response","23","null","76085","689b8a7a4faa850af7a40460","689b953f46b208ac2c41e53f","55bd8669fdf99b5bfc7d4cfc","5","S116_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S116_age9_trial5.png","5"
"","1474","image-button-response","24","null","78068","689b8a7a4faa850af7a40460","689b953f46b208ac2c41e53f","55bd8669fdf99b5bfc7d4cfc","1","S7_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S7_age4_trial1.png","5"
"","1411","image-button-response","25","null","79989","689b8a7a4faa850af7a40460","689b953f46b208ac2c41e53f","55bd8669fdf99b5bfc7d4cfc","1","S55_age6_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S55_age6_trial1.png","5"
