view_history,rt,trial_type,trial_index,plugin_version,time_elapsed,study_id,session_id,participant_id,tracing_type,tracing_id,catch_trial,prep_trial,stimulus,response
"[{""page_index"":0,""viewing_time"":13723},{""page_index"":1,""viewing_time"":21051},{""page_index"":2,""viewing_time"":9852},{""page_index"":3,""viewing_time"":7984},{""page_index"":4,""viewing_time"":18338}]",70949,instructions,0,null,70957,689b8a7a4faa850af7a40460,689bb3e54a8950ba1a69ff98,58d4c4c287b2420001263b6a,,,,,,
,2790,image-button-response,1,null,74757,689b8a7a4faa850af7a40460,689bb3e54a8950ba1a69ff98,58d4c4c287b2420001263b6a,2,,TRUE,FALSE,stimuli/catch_trials/catch_trial.png,1
,5944,image-button-response,2,null,81205,689b8a7a4faa850af7a40460,689bb3e54a8950ba1a69ff98,58d4c4c287b2420001263b6a,4,S9_age4_trial4.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S9_age4_trial4.png,4
,5915,image-button-response,3,null,87636,689b8a7a4faa850af7a40460,689bb3e54a8950ba1a69ff98,58d4c4c287b2420001263b6a,3,S118_age9_trial3.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S118_age9_trial3.png,5
,2269,image-button-response,4,null,90410,689b8a7a4faa850af7a40460,689bb3e54a8950ba1a69ff98,58d4c4c287b2420001263b6a,4,S58_age6_trial4.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S58_age6_trial4.png,5
,2180,image-button-response,5,null,93094,689b8a7a4faa850af7a40460,689bb3e54a8950ba1a69ff98,58d4c4c287b2420001263b6a,3,S93_age8_trial3.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S93_age8_trial3.png,5
,3107,image-button-response,6,null,96716,689b8a7a4faa850af7a40460,689bb3e54a8950ba1a69ff98,58d4c4c287b2420001263b6a,3,S36_age5_trial3.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S36_age5_trial3.png,5
,2578,image-button-response,7,null,99804,689b8a7a4faa850af7a40460,689bb3e54a8950ba1a69ff98,58d4c4c287b2420001263b6a,5,S40_age5_trial5.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S40_age5_trial5.png,5
,2935,image-button-response,8,null,103246,689b8a7a4faa850af7a40460,689bb3e54a8950ba1a69ff98,58d4c4c287b2420001263b6a,2,S6_age4_trial2.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S6_age4_trial2.png,5
,10178,image-button-response,9,null,113937,689b8a7a4faa850af7a40460,689bb3e54a8950ba1a69ff98,58d4c4c287b2420001263b6a,1,S54_age6_trial1.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S54_age6_trial1.png,4
,2060,image-button-response,10,null,116500,689b8a7a4faa850af7a40460,689bb3e54a8950ba1a69ff98,58d4c4c287b2420001263b6a,2,S60_age6_trial2.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S60_age6_trial2.png,5
,1376,image-button-response,11,null,118382,689b8a7a4faa850af7a40460,689bb3e54a8950ba1a69ff98,58d4c4c287b2420001263b6a,5,S58_age6_trial5.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S58_age6_trial5.png,5
,4307,image-button-response,12,null,123202,689b8a7a4faa850af7a40460,689bb3e54a8950ba1a69ff98,58d4c4c287b2420001263b6a,4,S56_age6_trial4.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S56_age6_trial4.png,5
,8794,image-button-response,13,null,132506,689b8a7a4faa850af7a40460,689bb3e54a8950ba1a69ff98,58d4c4c287b2420001263b6a,5,S9_age4_trial5.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S9_age4_trial5.png,2
,5610,image-button-response,14,null,138624,689b8a7a4faa850af7a40460,689bb3e54a8950ba1a69ff98,58d4c4c287b2420001263b6a,1,S116_age9_trial1.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S116_age9_trial1.png,4
,7413,image-button-response,15,null,146548,689b8a7a4faa850af7a40460,689bb3e54a8950ba1a69ff98,58d4c4c287b2420001263b6a,4,S76_age7_trial4.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S76_age7_trial4.png,4
,4075,image-button-response,16,null,151130,689b8a7a4faa850af7a40460,689bb3e54a8950ba1a69ff98,58d4c4c287b2420001263b6a,2,S59_age6_trial2.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S59_age6_trial2.png,4
,10696,image-button-response,17,null,162330,689b8a7a4faa850af7a40460,689bb3e54a8950ba1a69ff98,58d4c4c287b2420001263b6a,3,S57_age6_trial3.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S57_age6_trial3.png,4
,2635,image-button-response,18,null,165470,689b8a7a4faa850af7a40460,689bb3e54a8950ba1a69ff98,58d4c4c287b2420001263b6a,1,S40_age5_trial1.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S40_age5_trial1.png,5
,2195,image-button-response,19,null,168178,689b8a7a4faa850af7a40460,689bb3e54a8950ba1a69ff98,58d4c4c287b2420001263b6a,4,S93_age8_trial4.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S93_age8_trial4.png,5
,2715,image-button-response,20,null,171408,689b8a7a4faa850af7a40460,689bb3e54a8950ba1a69ff98,58d4c4c287b2420001263b6a,1,S120_age9_trial1.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S120_age9_trial1.png,4
,6856,image-button-response,21,null,178770,689b8a7a4faa850af7a40460,689bb3e54a8950ba1a69ff98,58d4c4c287b2420001263b6a,3,S92_age8_trial3.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S92_age8_trial3.png,4
,3929,image-button-response,22,null,183202,689b8a7a4faa850af7a40460,689bb3e54a8950ba1a69ff98,58d4c4c287b2420001263b6a,5,S118_age9_trial5.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S118_age9_trial5.png,4
,3217,image-button-response,23,null,186928,689b8a7a4faa850af7a40460,689bb3e54a8950ba1a69ff98,58d4c4c287b2420001263b6a,4,S80_age7_trial4.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S80_age7_trial4.png,4
,4791,image-button-response,24,null,192236,689b8a7a4faa850af7a40460,689bb3e54a8950ba1a69ff98,58d4c4c287b2420001263b6a,3,S9_age4_trial3.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S9_age4_trial3.png,4
