"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response"
"[{""page_index"":0,""viewing_time"":16218},{""page_index"":1,""viewing_time"":28450},{""page_index"":2,""viewing_time"":9924},{""page_index"":3,""viewing_time"":2354},{""page_index"":4,""viewing_time"":19278}]","76224","instructions","0","null","76232","689b8a7a4faa850af7a40460","689b9fe28b30e5e966554976","5b3e2334cdb4ce0001d93c51","","","","","",""
"","8220","image-button-response","1","null","85456","689b8a7a4faa850af7a40460","689b9fe28b30e5e966554976","5b3e2334cdb4ce0001d93c51","1","S34_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S34_age5_trial1.png","4"
"","5428","image-button-response","2","null","91386","689b8a7a4faa850af7a40460","689b9fe28b30e5e966554976","5b3e2334cdb4ce0001d93c51","2","S115_age9_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S115_age9_trial2.png","5"
"","4042","image-button-response","3","null","95930","689b8a7a4faa850af7a40460","689b9fe28b30e5e966554976","5b3e2334cdb4ce0001d93c51","3","S8_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S8_age4_trial3.png","3"
"","8623","image-button-response","4","null","105062","689b8a7a4faa850af7a40460","689b9fe28b30e5e966554976","5b3e2334cdb4ce0001d93c51","5","S76_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S76_age7_trial5.png","4"
"","3293","image-button-response","5","null","108858","689b8a7a4faa850af7a40460","689b9fe28b30e5e966554976","5b3e2334cdb4ce0001d93c51","4","S35_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S35_age5_trial4.png","4"
"","2420","image-button-response","6","null","111788","689b8a7a4faa850af7a40460","689b9fe28b30e5e966554976","5b3e2334cdb4ce0001d93c51","1","S95_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S95_age8_trial1.png","5"
"","3789","image-button-response","7","null","116086","689b8a7a4faa850af7a40460","689b9fe28b30e5e966554976","5b3e2334cdb4ce0001d93c51","4","S116_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S116_age9_trial4.png","5"
"","2205","image-button-response","8","null","118800","689b8a7a4faa850af7a40460","689b9fe28b30e5e966554976","5b3e2334cdb4ce0001d93c51","2","S57_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S57_age6_trial2.png","5"
"","3686","image-button-response","9","null","122988","689b8a7a4faa850af7a40460","689b9fe28b30e5e966554976","5b3e2334cdb4ce0001d93c51","4","S76_age7_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S76_age7_trial4.png","3"
"","5489","image-button-response","10","null","128980","689b8a7a4faa850af7a40460","689b9fe28b30e5e966554976","5b3e2334cdb4ce0001d93c51","5","S40_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S40_age5_trial5.png","4"
"","3767","image-button-response","11","null","133262","689b8a7a4faa850af7a40460","689b9fe28b30e5e966554976","5b3e2334cdb4ce0001d93c51","1","S39_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S39_age5_trial1.png","2"
"","2983","image-button-response","12","null","136753","689b8a7a4faa850af7a40460","689b9fe28b30e5e966554976","5b3e2334cdb4ce0001d93c51","4","S97_age8_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S97_age8_trial4.png","2"
"","3379","image-button-response","13","null","140634","689b8a7a4faa850af7a40460","689b9fe28b30e5e966554976","5b3e2334cdb4ce0001d93c51","5","S54_age6_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S54_age6_trial5.png","5"
"","2321","image-button-response","14","null","143456","689b8a7a4faa850af7a40460","689b9fe28b30e5e966554976","5b3e2334cdb4ce0001d93c51","3","S59_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S59_age6_trial3.png","2"
"","2241","image-button-response","15","null","146210","689b8a7a4faa850af7a40460","689b9fe28b30e5e966554976","5b3e2334cdb4ce0001d93c51","5","S114_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S114_age9_trial5.png","5"
"","2043","image-button-response","16","null","148762","689b8a7a4faa850af7a40460","689b9fe28b30e5e966554976","5b3e2334cdb4ce0001d93c51","2","S98_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S98_age8_trial2.png","5"
"","3790","image-button-response","17","null","153058","689b8a7a4faa850af7a40460","689b9fe28b30e5e966554976","5b3e2334cdb4ce0001d93c51","1","S59_age6_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S59_age6_trial1.png","5"
"","3652","image-button-response","18","null","157215","689b8a7a4faa850af7a40460","689b9fe28b30e5e966554976","5b3e2334cdb4ce0001d93c51","3","S6_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S6_age4_trial3.png","4"
"","2990","image-button-response","19","null","160710","689b8a7a4faa850af7a40460","689b9fe28b30e5e966554976","5b3e2334cdb4ce0001d93c51","4","S80_age7_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S80_age7_trial4.png","4"
"","2452","image-button-response","20","null","163670","689b8a7a4faa850af7a40460","689b9fe28b30e5e966554976","5b3e2334cdb4ce0001d93c51","4","S6_age4_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S6_age4_trial4.png","1"
"","2262","image-button-response","21","null","166440","689b8a7a4faa850af7a40460","689b9fe28b30e5e966554976","5b3e2334cdb4ce0001d93c51","3","S95_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S95_age8_trial3.png","5"
"","2134","image-button-response","22","null","169075","689b8a7a4faa850af7a40460","689b9fe28b30e5e966554976","5b3e2334cdb4ce0001d93c51","2","S35_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S35_age5_trial2.png","4"
"","2332","image-button-response","23","null","171924","689b8a7a4faa850af7a40460","689b9fe28b30e5e966554976","5b3e2334cdb4ce0001d93c51","2","S6_age4_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S6_age4_trial2.png","4"
"","2990","image-button-response","24","null","175415","689b8a7a4faa850af7a40460","689b9fe28b30e5e966554976","5b3e2334cdb4ce0001d93c51","3","S80_age7_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S80_age7_trial3.png","4"
"","2173","image-button-response","25","null","178100","689b8a7a4faa850af7a40460","689b9fe28b30e5e966554976","5b3e2334cdb4ce0001d93c51","3","S118_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S118_age9_trial3.png","5"
"","2954","image-button-response","26","null","181555","689b8a7a4faa850af7a40460","689b9fe28b30e5e966554976","5b3e2334cdb4ce0001d93c51","5","S9_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S9_age4_trial5.png","2"
"","1969","image-button-response","27","null","184032","689b8a7a4faa850af7a40460","689b9fe28b30e5e966554976","5b3e2334cdb4ce0001d93c51","1","S114_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S114_age9_trial1.png","5"
"","3075","image-button-response","28","null","187609","689b8a7a4faa850af7a40460","689b9fe28b30e5e966554976","5b3e2334cdb4ce0001d93c51","1","S8_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S8_age4_trial1.png","3"
"","1976","image-button-response","29","null","190101","689b8a7a4faa850af7a40460","689b9fe28b30e5e966554976","5b3e2334cdb4ce0001d93c51","1","S74_age7_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S74_age7_trial1.png","5"
"","2383","image-button-response","30","null","192985","689b8a7a4faa850af7a40460","689b9fe28b30e5e966554976","5b3e2334cdb4ce0001d93c51","5","S56_age6_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S56_age6_trial5.png","4"
"","1542","image-button-response","31","null","195030","689b8a7a4faa850af7a40460","689b9fe28b30e5e966554976","5b3e2334cdb4ce0001d93c51","2","","true","false","stimuli/catch_trials/catch_trial.png","1"
"","2982","image-button-response","32","null","198514","689b8a7a4faa850af7a40460","689b9fe28b30e5e966554976","5b3e2334cdb4ce0001d93c51","4","S33_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S33_age5_trial4.png","2"
"","1753","image-button-response","33","null","200781","689b8a7a4faa850af7a40460","689b9fe28b30e5e966554976","5b3e2334cdb4ce0001d93c51","5","S98_age8_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S98_age8_trial5.png","4"
"","4984","image-button-response","34","null","206273","689b8a7a4faa850af7a40460","689b9fe28b30e5e966554976","5b3e2334cdb4ce0001d93c51","4","S118_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S118_age9_trial4.png","5"
"","15358","image-button-response","35","null","222141","689b8a7a4faa850af7a40460","689b9fe28b30e5e966554976","5b3e2334cdb4ce0001d93c51","5","S97_age8_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S97_age8_trial5.png","3"
"","4159","image-button-response","36","null","226807","689b8a7a4faa850af7a40460","689b9fe28b30e5e966554976","5b3e2334cdb4ce0001d93c51","3","S34_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S34_age5_trial3.png","3"
"","3812","image-button-response","37","null","231128","689b8a7a4faa850af7a40460","689b9fe28b30e5e966554976","5b3e2334cdb4ce0001d93c51","5","S116_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S116_age9_trial5.png","5"
"","5628","image-button-response","38","null","237259","689b8a7a4faa850af7a40460","689b9fe28b30e5e966554976","5b3e2334cdb4ce0001d93c51","3","S38_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S38_age5_trial3.png","3"
"","2336","image-button-response","39","null","240098","689b8a7a4faa850af7a40460","689b9fe28b30e5e966554976","5b3e2334cdb4ce0001d93c51","5","S37_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S37_age5_trial5.png","5"
"","2484","image-button-response","40","null","243083","689b8a7a4faa850af7a40460","689b9fe28b30e5e966554976","5b3e2334cdb4ce0001d93c51","2","S76_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S76_age7_trial2.png","4"
"","18389","image-button-response","41","null","261982","689b8a7a4faa850af7a40460","689b9fe28b30e5e966554976","5b3e2334cdb4ce0001d93c51","5","S6_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S6_age4_trial5.png","4"
"","2182","image-button-response","42","null","264665","689b8a7a4faa850af7a40460","689b9fe28b30e5e966554976","5b3e2334cdb4ce0001d93c51","1","S3_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S3_age4_trial1.png","5"
"","1758","image-button-response","43","null","266925","689b8a7a4faa850af7a40460","689b9fe28b30e5e966554976","5b3e2334cdb4ce0001d93c51","3","S60_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S60_age6_trial3.png","5"
"","2050","image-button-response","44","null","269485","689b8a7a4faa850af7a40460","689b9fe28b30e5e966554976","5b3e2334cdb4ce0001d93c51","2","S97_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S97_age8_trial2.png","4"
