"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response"
"[{""page_index"":0,""viewing_time"":3337},{""page_index"":1,""viewing_time"":14986},{""page_index"":2,""viewing_time"":2432},{""page_index"":3,""viewing_time"":1994},{""page_index"":4,""viewing_time"":1910}]","24659","instructions","0","null","24675","689b8a7a4faa850af7a40460","689bf680a23645d459120769","5e06ecd524f9390991997bb7","","","","","",""
"","5092","image-button-response","1","null","30778","689b8a7a4faa850af7a40460","689bf680a23645d459120769","5e06ecd524f9390991997bb7","3","S79_age7_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S79_age7_trial3.png","4"
"","5064","image-button-response","2","null","36358","689b8a7a4faa850af7a40460","689bf680a23645d459120769","5e06ecd524f9390991997bb7","2","S112_age9_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S112_age9_trial2.png","4"
"","3955","image-button-response","3","null","40819","689b8a7a4faa850af7a40460","689bf680a23645d459120769","5e06ecd524f9390991997bb7","3","S39_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S39_age5_trial3.png","2"
"","3111","image-button-response","4","null","44438","689b8a7a4faa850af7a40460","689bf680a23645d459120769","5e06ecd524f9390991997bb7","5","S73_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S73_age7_trial5.png","4"
"","3153","image-button-response","5","null","48098","689b8a7a4faa850af7a40460","689bf680a23645d459120769","5e06ecd524f9390991997bb7","3","S48_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S48_age6_trial3.png","2"
"","1962","image-button-response","6","null","50563","689b8a7a4faa850af7a40460","689bf680a23645d459120769","5e06ecd524f9390991997bb7","1","S58_age6_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S58_age6_trial1.png","4"
"","1613","image-button-response","7","null","52678","689b8a7a4faa850af7a40460","689bf680a23645d459120769","5e06ecd524f9390991997bb7","2","S118_age9_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S118_age9_trial2.png","4"
"","2117","image-button-response","8","null","55313","689b8a7a4faa850af7a40460","689bf680a23645d459120769","5e06ecd524f9390991997bb7","3","S120_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S120_age9_trial3.png","3"
"","1684","image-button-response","9","null","57509","689b8a7a4faa850af7a40460","689bf680a23645d459120769","5e06ecd524f9390991997bb7","5","S58_age6_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S58_age6_trial5.png","4"
"","1341","image-button-response","10","null","59352","689b8a7a4faa850af7a40460","689bf680a23645d459120769","5e06ecd524f9390991997bb7","1","S96_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S96_age8_trial1.png","4"
"","2717","image-button-response","11","null","62585","689b8a7a4faa850af7a40460","689bf680a23645d459120769","5e06ecd524f9390991997bb7","4","S116_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S116_age9_trial4.png","4"
"","1448","image-button-response","12","null","64547","689b8a7a4faa850af7a40460","689bf680a23645d459120769","5e06ecd524f9390991997bb7","2","S52_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S52_age6_trial2.png","4"
"","2640","image-button-response","13","null","67703","689b8a7a4faa850af7a40460","689bf680a23645d459120769","5e06ecd524f9390991997bb7","1","S56_age6_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S56_age6_trial1.png","4"
"","2469","image-button-response","14","null","70683","689b8a7a4faa850af7a40460","689bf680a23645d459120769","5e06ecd524f9390991997bb7","3","S52_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S52_age6_trial3.png","4"
"","1675","image-button-response","15","null","72871","689b8a7a4faa850af7a40460","689bf680a23645d459120769","5e06ecd524f9390991997bb7","5","S59_age6_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S59_age6_trial5.png","3"
"","2867","image-button-response","16","null","76250","689b8a7a4faa850af7a40460","689bf680a23645d459120769","5e06ecd524f9390991997bb7","4","S77_age7_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S77_age7_trial4.png","4"
"","1750","image-button-response","17","null","78503","689b8a7a4faa850af7a40460","689bf680a23645d459120769","5e06ecd524f9390991997bb7","3","S112_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S112_age9_trial3.png","4"
"","2059","image-button-response","18","null","81074","689b8a7a4faa850af7a40460","689bf680a23645d459120769","5e06ecd524f9390991997bb7","3","S4_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S4_age4_trial3.png","2"
"","1587","image-button-response","19","null","83166","689b8a7a4faa850af7a40460","689bf680a23645d459120769","5e06ecd524f9390991997bb7","1","S97_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S97_age8_trial1.png","4"
"","1511","image-button-response","20","null","85180","689b8a7a4faa850af7a40460","689bf680a23645d459120769","5e06ecd524f9390991997bb7","1","S20_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S20_age4_trial1.png","3"
"","1693","image-button-response","21","null","87390","689b8a7a4faa850af7a40460","689bf680a23645d459120769","5e06ecd524f9390991997bb7","4","S94_age8_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S94_age8_trial4.png","4"
"","1954","image-button-response","22","null","89849","689b8a7a4faa850af7a40460","689bf680a23645d459120769","5e06ecd524f9390991997bb7","2","S75_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S75_age7_trial2.png","3"
"","3480","image-button-response","23","null","93831","689b8a7a4faa850af7a40460","689bf680a23645d459120769","5e06ecd524f9390991997bb7","4","S39_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S39_age5_trial4.png","2"
"","2311","image-button-response","24","null","96644","689b8a7a4faa850af7a40460","689bf680a23645d459120769","5e06ecd524f9390991997bb7","2","S97_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S97_age8_trial2.png","2"
"","1635","image-button-response","25","null","98781","689b8a7a4faa850af7a40460","689bf680a23645d459120769","5e06ecd524f9390991997bb7","4","S56_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S56_age6_trial4.png","4"
"","2786","image-button-response","26","null","102070","689b8a7a4faa850af7a40460","689bf680a23645d459120769","5e06ecd524f9390991997bb7","5","S80_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S80_age7_trial5.png","4"
"","1486","image-button-response","27","null","104067","689b8a7a4faa850af7a40460","689bf680a23645d459120769","5e06ecd524f9390991997bb7","5","S93_age8_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S93_age8_trial5.png","4"
"","2016","image-button-response","28","null","106592","689b8a7a4faa850af7a40460","689bf680a23645d459120769","5e06ecd524f9390991997bb7","2","","true","false","stimuli/catch_trials/catch_trial.png","1"
"","2071","image-button-response","29","null","109168","689b8a7a4faa850af7a40460","689bf680a23645d459120769","5e06ecd524f9390991997bb7","2","S35_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S35_age5_trial2.png","3"
"","3639","image-button-response","30","null","113318","689b8a7a4faa850af7a40460","689bf680a23645d459120769","5e06ecd524f9390991997bb7","3","S93_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S93_age8_trial3.png","5"
"","2607","image-button-response","31","null","116427","689b8a7a4faa850af7a40460","689bf680a23645d459120769","5e06ecd524f9390991997bb7","2","S39_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S39_age5_trial2.png","1"
"","1592","image-button-response","32","null","118523","689b8a7a4faa850af7a40460","689bf680a23645d459120769","5e06ecd524f9390991997bb7","1","S113_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S113_age9_trial1.png","4"
