"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response"
"[{""page_index"":0,""viewing_time"":9784},{""page_index"":1,""viewing_time"":9364},{""page_index"":2,""viewing_time"":3222},{""page_index"":3,""viewing_time"":3912},{""page_index"":4,""viewing_time"":9464}]","35746","instructions","0","null","35790","689b8a7a4faa850af7a40460","689be0eba4b6657160afe02b","5e2ac2aa0038f21089a533a4","","","","","",""
"","8114","image-button-response","1","null","44912","689b8a7a4faa850af7a40460","689be0eba4b6657160afe02b","5e2ac2aa0038f21089a533a4","3","S79_age7_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S79_age7_trial3.png","4"
"","9371","image-button-response","2","null","54794","689b8a7a4faa850af7a40460","689be0eba4b6657160afe02b","5e2ac2aa0038f21089a533a4","4","S97_age8_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S97_age8_trial4.png","2"
"","4957","image-button-response","3","null","60258","689b8a7a4faa850af7a40460","689be0eba4b6657160afe02b","5e2ac2aa0038f21089a533a4","5","S94_age8_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S94_age8_trial5.png","5"
"","4383","image-button-response","4","null","65152","689b8a7a4faa850af7a40460","689be0eba4b6657160afe02b","5e2ac2aa0038f21089a533a4","4","S39_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S39_age5_trial4.png","2"
"","4703","image-button-response","5","null","70360","689b8a7a4faa850af7a40460","689be0eba4b6657160afe02b","5e2ac2aa0038f21089a533a4","5","S56_age6_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S56_age6_trial5.png","4"
"","5044","image-button-response","6","null","75908","689b8a7a4faa850af7a40460","689be0eba4b6657160afe02b","5e2ac2aa0038f21089a533a4","2","S91_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S91_age8_trial2.png","5"
"","6623","image-button-response","7","null","83038","689b8a7a4faa850af7a40460","689be0eba4b6657160afe02b","5e2ac2aa0038f21089a533a4","2","S78_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S78_age7_trial2.png","4"
"","3024","image-button-response","8","null","86580","689b8a7a4faa850af7a40460","689be0eba4b6657160afe02b","5e2ac2aa0038f21089a533a4","2","S52_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S52_age6_trial2.png","4"
"","3454","image-button-response","9","null","90537","689b8a7a4faa850af7a40460","689be0eba4b6657160afe02b","5e2ac2aa0038f21089a533a4","3","S60_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S60_age6_trial3.png","4"
