"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response"
"[{""page_index"":0,""viewing_time"":29982},{""page_index"":1,""viewing_time"":7134},{""page_index"":2,""viewing_time"":3510},{""page_index"":3,""viewing_time"":2141},{""page_index"":4,""viewing_time"":5154}]","47921","instructions","0","null","47926","689b8a7a4faa850af7a40460","689bb01cb1407741d29976eb","5f8cbc5c355ea745e6cef2ca","","","","","",""
"","4509","image-button-response","1","null","53446","689b8a7a4faa850af7a40460","689bb01cb1407741d29976eb","5f8cbc5c355ea745e6cef2ca","4","S38_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S38_age5_trial4.png","5"
"","1602","image-button-response","2","null","55549","689b8a7a4faa850af7a40460","689bb01cb1407741d29976eb","5f8cbc5c355ea745e6cef2ca","5","S114_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S114_age9_trial5.png","5"
"","2346","image-button-response","3","null","58399","689b8a7a4faa850af7a40460","689bb01cb1407741d29976eb","5f8cbc5c355ea745e6cef2ca","5","S39_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S39_age5_trial5.png","2"
"","1651","image-button-response","4","null","60554","689b8a7a4faa850af7a40460","689bb01cb1407741d29976eb","5f8cbc5c355ea745e6cef2ca","1","S119_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S119_age9_trial1.png","5"
"","1577","image-button-response","5","null","62633","689b8a7a4faa850af7a40460","689bb01cb1407741d29976eb","5f8cbc5c355ea745e6cef2ca","2","S8_age4_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S8_age4_trial2.png","3"
"","1575","image-button-response","6","null","64708","689b8a7a4faa850af7a40460","689bb01cb1407741d29976eb","5f8cbc5c355ea745e6cef2ca","3","S96_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S96_age8_trial3.png","5"
"","2001","image-button-response","7","null","67213","689b8a7a4faa850af7a40460","689bb01cb1407741d29976eb","5f8cbc5c355ea745e6cef2ca","2","S75_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S75_age7_trial2.png","4"
"","1205","image-button-response","8","null","68930","689b8a7a4faa850af7a40460","689bb01cb1407741d29976eb","5f8cbc5c355ea745e6cef2ca","4","S60_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S60_age6_trial4.png","5"
"","1676","image-button-response","9","null","71107","689b8a7a4faa850af7a40460","689bb01cb1407741d29976eb","5f8cbc5c355ea745e6cef2ca","3","S56_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S56_age6_trial3.png","3"
"","2544","image-button-response","10","null","74160","689b8a7a4faa850af7a40460","689bb01cb1407741d29976eb","5f8cbc5c355ea745e6cef2ca","2","S34_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S34_age5_trial2.png","3"
"","1951","image-button-response","11","null","76612","689b8a7a4faa850af7a40460","689bb01cb1407741d29976eb","5f8cbc5c355ea745e6cef2ca","5","S75_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S75_age7_trial5.png","4"
"","1911","image-button-response","12","null","79024","689b8a7a4faa850af7a40460","689bb01cb1407741d29976eb","5f8cbc5c355ea745e6cef2ca","3","S117_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S117_age9_trial3.png","5"
"","2331","image-button-response","13","null","81857","689b8a7a4faa850af7a40460","689bb01cb1407741d29976eb","5f8cbc5c355ea745e6cef2ca","5","S117_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S117_age9_trial5.png","5"
"","2937","image-button-response","14","null","85297","689b8a7a4faa850af7a40460","689bb01cb1407741d29976eb","5f8cbc5c355ea745e6cef2ca","4","S34_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S34_age5_trial4.png","3"
