"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response"
"[{""page_index"":0,""viewing_time"":19330},{""page_index"":1,""viewing_time"":22380},{""page_index"":2,""viewing_time"":7023},{""page_index"":3,""viewing_time"":2577},{""page_index"":4,""viewing_time"":6628}]","57938","instructions","0","null","57957","689b8a7a4faa850af7a40460","689bacd6de6e5deafe2f9d7e","601e13b872774f263d64acac","","","","","",""
"","13524","image-button-response","1","null","72491","689b8a7a4faa850af7a40460","689bacd6de6e5deafe2f9d7e","601e13b872774f263d64acac","3","S2_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S2_age4_trial3.png","4"
"","2546","image-button-response","2","null","75547","689b8a7a4faa850af7a40460","689bacd6de6e5deafe2f9d7e","601e13b872774f263d64acac","2","S93_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S93_age8_trial2.png","5"
"","1977","image-button-response","3","null","78039","689b8a7a4faa850af7a40460","689bacd6de6e5deafe2f9d7e","601e13b872774f263d64acac","1","S5_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S5_age4_trial1.png","2"
"","1875","image-button-response","4","null","80430","689b8a7a4faa850af7a40460","689bacd6de6e5deafe2f9d7e","601e13b872774f263d64acac","4","S54_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S54_age6_trial4.png","5"
"","3936","image-button-response","5","null","84872","689b8a7a4faa850af7a40460","689bacd6de6e5deafe2f9d7e","601e13b872774f263d64acac","2","S56_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S56_age6_trial2.png","5"
"","1942","image-button-response","6","null","87325","689b8a7a4faa850af7a40460","689bacd6de6e5deafe2f9d7e","601e13b872774f263d64acac","3","S8_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S8_age4_trial3.png","2"
"","2429","image-button-response","7","null","90263","689b8a7a4faa850af7a40460","689bacd6de6e5deafe2f9d7e","601e13b872774f263d64acac","5","S37_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S37_age5_trial5.png","5"
"","2113","image-button-response","8","null","92890","689b8a7a4faa850af7a40460","689bacd6de6e5deafe2f9d7e","601e13b872774f263d64acac","3","S99_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S99_age8_trial3.png","5"
"","2295","image-button-response","9","null","95701","689b8a7a4faa850af7a40460","689bacd6de6e5deafe2f9d7e","601e13b872774f263d64acac","3","S33_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S33_age5_trial3.png","2"
"","3515","image-button-response","10","null","99730","689b8a7a4faa850af7a40460","689bacd6de6e5deafe2f9d7e","601e13b872774f263d64acac","1","S36_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S36_age5_trial1.png","5"
"","2150","image-button-response","11","null","102386","689b8a7a4faa850af7a40460","689bacd6de6e5deafe2f9d7e","601e13b872774f263d64acac","3","S56_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S56_age6_trial3.png","4"
"","1551","image-button-response","12","null","104450","689b8a7a4faa850af7a40460","689bacd6de6e5deafe2f9d7e","601e13b872774f263d64acac","4","S116_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S116_age9_trial4.png","5"
"","965","image-button-response","13","null","105929","689b8a7a4faa850af7a40460","689bacd6de6e5deafe2f9d7e","601e13b872774f263d64acac","4","S120_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S120_age9_trial4.png","5"
"","1274","image-button-response","14","null","107713","689b8a7a4faa850af7a40460","689bacd6de6e5deafe2f9d7e","601e13b872774f263d64acac","3","S97_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S97_age8_trial3.png","4"
"","1117","image-button-response","15","null","109338","689b8a7a4faa850af7a40460","689bacd6de6e5deafe2f9d7e","601e13b872774f263d64acac","2","S55_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S55_age6_trial2.png","5"
"","1826","image-button-response","16","null","111673","689b8a7a4faa850af7a40460","689bacd6de6e5deafe2f9d7e","601e13b872774f263d64acac","5","S6_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S6_age4_trial5.png","5"
"","2510","image-button-response","17","null","114691","689b8a7a4faa850af7a40460","689bacd6de6e5deafe2f9d7e","601e13b872774f263d64acac","2","S3_age4_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S3_age4_trial2.png","1"
"","1700","image-button-response","18","null","116906","689b8a7a4faa850af7a40460","689bacd6de6e5deafe2f9d7e","601e13b872774f263d64acac","1","S114_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S114_age9_trial1.png","5"
"","1759","image-button-response","19","null","119175","689b8a7a4faa850af7a40460","689bacd6de6e5deafe2f9d7e","601e13b872774f263d64acac","4","S34_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S34_age5_trial4.png","5"
"","1079","image-button-response","20","null","120774","689b8a7a4faa850af7a40460","689bacd6de6e5deafe2f9d7e","601e13b872774f263d64acac","5","S76_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S76_age7_trial5.png","5"
"","1337","image-button-response","21","null","122619","689b8a7a4faa850af7a40460","689bacd6de6e5deafe2f9d7e","601e13b872774f263d64acac","2","S94_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S94_age8_trial2.png","5"
"","1101","image-button-response","22","null","124232","689b8a7a4faa850af7a40460","689bacd6de6e5deafe2f9d7e","601e13b872774f263d64acac","2","S80_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S80_age7_trial2.png","5"
"","1125","image-button-response","23","null","125866","689b8a7a4faa850af7a40460","689bacd6de6e5deafe2f9d7e","601e13b872774f263d64acac","2","S35_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S35_age5_trial2.png","5"
"","1118","image-button-response","24","null","127495","689b8a7a4faa850af7a40460","689bacd6de6e5deafe2f9d7e","601e13b872774f263d64acac","1","S98_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S98_age8_trial1.png","5"
"","1452","image-button-response","25","null","129453","689b8a7a4faa850af7a40460","689bacd6de6e5deafe2f9d7e","601e13b872774f263d64acac","2","S36_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S36_age5_trial2.png","5"
"","1447","image-button-response","26","null","131410","689b8a7a4faa850af7a40460","689bacd6de6e5deafe2f9d7e","601e13b872774f263d64acac","3","S74_age7_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S74_age7_trial3.png","5"
"","3161","image-button-response","27","null","135077","689b8a7a4faa850af7a40460","689bacd6de6e5deafe2f9d7e","601e13b872774f263d64acac","4","S55_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S55_age6_trial4.png","5"
"","1571","image-button-response","28","null","137153","689b8a7a4faa850af7a40460","689bacd6de6e5deafe2f9d7e","601e13b872774f263d64acac","1","S3_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S3_age4_trial1.png","5"
"","1173","image-button-response","29","null","138830","689b8a7a4faa850af7a40460","689bacd6de6e5deafe2f9d7e","601e13b872774f263d64acac","3","S116_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S116_age9_trial3.png","5"
"","892","image-button-response","30","null","140225","689b8a7a4faa850af7a40460","689bacd6de6e5deafe2f9d7e","601e13b872774f263d64acac","1","S60_age6_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S60_age6_trial1.png","5"
"","883","image-button-response","31","null","141612","689b8a7a4faa850af7a40460","689bacd6de6e5deafe2f9d7e","601e13b872774f263d64acac","1","S97_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S97_age8_trial1.png","5"
"","1191","image-button-response","32","null","143310","689b8a7a4faa850af7a40460","689bacd6de6e5deafe2f9d7e","601e13b872774f263d64acac","2","S119_age9_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S119_age9_trial2.png","5"
"","946","image-button-response","33","null","144762","689b8a7a4faa850af7a40460","689bacd6de6e5deafe2f9d7e","601e13b872774f263d64acac","3","S117_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S117_age9_trial3.png","5"
"","960","image-button-response","34","null","146235","689b8a7a4faa850af7a40460","689bacd6de6e5deafe2f9d7e","601e13b872774f263d64acac","5","S53_age6_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S53_age6_trial5.png","5"
"","1278","image-button-response","35","null","148024","689b8a7a4faa850af7a40460","689bacd6de6e5deafe2f9d7e","601e13b872774f263d64acac","2","S77_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S77_age7_trial2.png","5"
"","974","image-button-response","36","null","149508","689b8a7a4faa850af7a40460","689bacd6de6e5deafe2f9d7e","601e13b872774f263d64acac","4","S99_age8_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S99_age8_trial4.png","5"
"","2891","image-button-response","37","null","152911","689b8a7a4faa850af7a40460","689bacd6de6e5deafe2f9d7e","601e13b872774f263d64acac","1","S34_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S34_age5_trial1.png","4"
"","1489","image-button-response","38","null","154904","689b8a7a4faa850af7a40460","689bacd6de6e5deafe2f9d7e","601e13b872774f263d64acac","2","S9_age4_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S9_age4_trial2.png","4"
"","1343","image-button-response","39","null","156759","689b8a7a4faa850af7a40460","689bacd6de6e5deafe2f9d7e","601e13b872774f263d64acac","5","S99_age8_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S99_age8_trial5.png","5"
"","4166","image-button-response","40","null","161429","689b8a7a4faa850af7a40460","689bacd6de6e5deafe2f9d7e","601e13b872774f263d64acac","4","S8_age4_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S8_age4_trial4.png","3"
"","4389","image-button-response","41","null","166332","689b8a7a4faa850af7a40460","689bacd6de6e5deafe2f9d7e","601e13b872774f263d64acac","2","","true","false","stimuli/catch_trials/catch_trial.png","1"
"","2872","image-button-response","42","null","169720","689b8a7a4faa850af7a40460","689bacd6de6e5deafe2f9d7e","601e13b872774f263d64acac","4","S79_age7_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S79_age7_trial4.png","5"
"","454","image-button-response","43","null","170683","689b8a7a4faa850af7a40460","689bacd6de6e5deafe2f9d7e","601e13b872774f263d64acac","3","S55_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S55_age6_trial3.png","5"
"","1712","image-button-response","44","null","172912","689b8a7a4faa850af7a40460","689bacd6de6e5deafe2f9d7e","601e13b872774f263d64acac","1","S77_age7_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S77_age7_trial1.png","5"
"","1853","image-button-response","45","null","175279","689b8a7a4faa850af7a40460","689bacd6de6e5deafe2f9d7e","601e13b872774f263d64acac","4","S96_age8_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S96_age8_trial4.png","5"
"","2499","image-button-response","46","null","178284","689b8a7a4faa850af7a40460","689bacd6de6e5deafe2f9d7e","601e13b872774f263d64acac","4","S2_age4_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S2_age4_trial4.png","2"
"","1330","image-button-response","47","null","180118","689b8a7a4faa850af7a40460","689bacd6de6e5deafe2f9d7e","601e13b872774f263d64acac","5","S120_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S120_age9_trial5.png","5"
"","980","image-button-response","48","null","181604","689b8a7a4faa850af7a40460","689bacd6de6e5deafe2f9d7e","601e13b872774f263d64acac","5","S40_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S40_age5_trial5.png","5"
"","1068","image-button-response","49","null","183177","689b8a7a4faa850af7a40460","689bacd6de6e5deafe2f9d7e","601e13b872774f263d64acac","2","S115_age9_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S115_age9_trial2.png","5"
"","2747","image-button-response","50","null","186430","689b8a7a4faa850af7a40460","689bacd6de6e5deafe2f9d7e","601e13b872774f263d64acac","5","S56_age6_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S56_age6_trial5.png","5"
"","2462","image-button-response","51","null","189396","689b8a7a4faa850af7a40460","689bacd6de6e5deafe2f9d7e","601e13b872774f263d64acac","3","S75_age7_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S75_age7_trial3.png","4"
"","2124","image-button-response","52","null","192029","689b8a7a4faa850af7a40460","689bacd6de6e5deafe2f9d7e","601e13b872774f263d64acac","1","S74_age7_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S74_age7_trial1.png","5"
"","973","image-button-response","53","null","193507","689b8a7a4faa850af7a40460","689bacd6de6e5deafe2f9d7e","601e13b872774f263d64acac","1","S116_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S116_age9_trial1.png","5"
"","2009","image-button-response","54","null","196025","689b8a7a4faa850af7a40460","689bacd6de6e5deafe2f9d7e","601e13b872774f263d64acac","5","S74_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S74_age7_trial5.png","4"
"","4645","image-button-response","55","null","201182","689b8a7a4faa850af7a40460","689bacd6de6e5deafe2f9d7e","601e13b872774f263d64acac","5","S8_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S8_age4_trial5.png","2"
