"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response"
"[{""page_index"":0,""viewing_time"":6852},{""page_index"":1,""viewing_time"":13300},{""page_index"":2,""viewing_time"":7925},{""page_index"":3,""viewing_time"":3592},{""page_index"":4,""viewing_time"":9321}]","40990","instructions","0","null","40998","689b8a7a4faa850af7a40460","689b90ea3f2655a1474ba7f1","608437f0b139060610c9f0c1","","","","","",""
"","14658","image-button-response","1","null","56662","689b8a7a4faa850af7a40460","689b90ea3f2655a1474ba7f1","608437f0b139060610c9f0c1","3","S119_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S119_age9_trial3.png","5"
"","5444","image-button-response","2","null","62618","689b8a7a4faa850af7a40460","689b90ea3f2655a1474ba7f1","608437f0b139060610c9f0c1","1","S35_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S35_age5_trial1.png","5"
"","2609","image-button-response","3","null","65743","689b8a7a4faa850af7a40460","689b90ea3f2655a1474ba7f1","608437f0b139060610c9f0c1","3","S60_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S60_age6_trial3.png","4"
"","2651","image-button-response","4","null","68897","689b8a7a4faa850af7a40460","689b90ea3f2655a1474ba7f1","608437f0b139060610c9f0c1","1","S76_age7_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S76_age7_trial1.png","5"
"","4546","image-button-response","5","null","73957","689b8a7a4faa850af7a40460","689b90ea3f2655a1474ba7f1","608437f0b139060610c9f0c1","5","S60_age6_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S60_age6_trial5.png","5"
"","1238","image-button-response","6","null","75699","689b8a7a4faa850af7a40460","689b90ea3f2655a1474ba7f1","608437f0b139060610c9f0c1","2","S57_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S57_age6_trial2.png","5"
"","1936","image-button-response","7","null","78145","689b8a7a4faa850af7a40460","689b90ea3f2655a1474ba7f1","608437f0b139060610c9f0c1","3","S74_age7_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S74_age7_trial3.png","4"
"","1483","image-button-response","8","null","80132","689b8a7a4faa850af7a40460","689b90ea3f2655a1474ba7f1","608437f0b139060610c9f0c1","2","S6_age4_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S6_age4_trial2.png","4"
"","2686","image-button-response","9","null","83324","689b8a7a4faa850af7a40460","689b90ea3f2655a1474ba7f1","608437f0b139060610c9f0c1","4","S119_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S119_age9_trial4.png","5"
