"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response"
"[{""page_index"":0,""viewing_time"":5320},{""page_index"":1,""viewing_time"":3098},{""page_index"":2,""viewing_time"":6348},{""page_index"":3,""viewing_time"":6288},{""page_index"":4,""viewing_time"":10492}]","31546","instructions","0","null","31568","689b8a7a4faa850af7a40460","689badea93269c2a2d5061bc","60ca4cfb5c287146cad0695a","","","","","",""
"","9976","image-button-response","1","null","42556","689b8a7a4faa850af7a40460","689badea93269c2a2d5061bc","60ca4cfb5c287146cad0695a","2","S59_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S59_age6_trial2.png","4"
"","5230","image-button-response","2","null","48292","689b8a7a4faa850af7a40460","689badea93269c2a2d5061bc","60ca4cfb5c287146cad0695a","4","S40_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S40_age5_trial4.png","4"
"","6314","image-button-response","3","null","55112","689b8a7a4faa850af7a40460","689badea93269c2a2d5061bc","60ca4cfb5c287146cad0695a","5","S57_age6_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S57_age6_trial5.png","5"
"","4481","image-button-response","4","null","60098","689b8a7a4faa850af7a40460","689badea93269c2a2d5061bc","60ca4cfb5c287146cad0695a","5","S34_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S34_age5_trial5.png","4"
"","3727","image-button-response","5","null","64331","689b8a7a4faa850af7a40460","689badea93269c2a2d5061bc","60ca4cfb5c287146cad0695a","3","S38_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S38_age5_trial3.png","4"
"","3727","image-button-response","6","null","68563","689b8a7a4faa850af7a40460","689badea93269c2a2d5061bc","60ca4cfb5c287146cad0695a","5","S94_age8_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S94_age8_trial5.png","5"
"","4277","image-button-response","7","null","73346","689b8a7a4faa850af7a40460","689badea93269c2a2d5061bc","60ca4cfb5c287146cad0695a","5","S7_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S7_age4_trial5.png","4"
"","3386","image-button-response","8","null","77239","689b8a7a4faa850af7a40460","689badea93269c2a2d5061bc","60ca4cfb5c287146cad0695a","4","S58_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S58_age6_trial4.png","5"
"","2974","image-button-response","9","null","80719","689b8a7a4faa850af7a40460","689badea93269c2a2d5061bc","60ca4cfb5c287146cad0695a","2","S96_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S96_age8_trial2.png","5"
"","7417","image-button-response","10","null","88641","689b8a7a4faa850af7a40460","689badea93269c2a2d5061bc","60ca4cfb5c287146cad0695a","2","S3_age4_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S3_age4_trial2.png","2"
"","5039","image-button-response","11","null","94186","689b8a7a4faa850af7a40460","689badea93269c2a2d5061bc","60ca4cfb5c287146cad0695a","3","S40_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S40_age5_trial3.png","4"
