"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response"
"[{""page_index"":0,""viewing_time"":7724},{""page_index"":1,""viewing_time"":2360},{""page_index"":2,""viewing_time"":3216},{""page_index"":3,""viewing_time"":1312},{""page_index"":4,""viewing_time"":5470}]","20083","instructions","0","null","20145","689b8a7a4faa850af7a40460","689ba8feb5f739265fb91e72","60ccbffae161aadb1880ad6c","","","","","",""
"","9135","image-button-response","1","null","30307","689b8a7a4faa850af7a40460","689ba8feb5f739265fb91e72","60ccbffae161aadb1880ad6c","3","S96_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S96_age8_trial3.png","5"
"","7243","image-button-response","2","null","38059","689b8a7a4faa850af7a40460","689ba8feb5f739265fb91e72","60ccbffae161aadb1880ad6c","4","S57_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S57_age6_trial4.png","5"
"","4837","image-button-response","3","null","43406","689b8a7a4faa850af7a40460","689ba8feb5f739265fb91e72","60ccbffae161aadb1880ad6c","2","S95_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S95_age8_trial2.png","5"
"","5959","image-button-response","4","null","49872","689b8a7a4faa850af7a40460","689ba8feb5f739265fb91e72","60ccbffae161aadb1880ad6c","5","S35_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S35_age5_trial5.png","5"
"","7478","image-button-response","5","null","57863","689b8a7a4faa850af7a40460","689ba8feb5f739265fb91e72","60ccbffae161aadb1880ad6c","3","S80_age7_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S80_age7_trial3.png","4"
"","6375","image-button-response","6","null","64757","689b8a7a4faa850af7a40460","689ba8feb5f739265fb91e72","60ccbffae161aadb1880ad6c","1","S59_age6_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S59_age6_trial1.png","5"
"","3131","image-button-response","7","null","68394","689b8a7a4faa850af7a40460","689ba8feb5f739265fb91e72","60ccbffae161aadb1880ad6c","4","S60_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S60_age6_trial4.png","5"
"","9542","image-button-response","8","null","78457","689b8a7a4faa850af7a40460","689ba8feb5f739265fb91e72","60ccbffae161aadb1880ad6c","4","S96_age8_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S96_age8_trial4.png","5"
"","8678","image-button-response","9","null","87642","689b8a7a4faa850af7a40460","689ba8feb5f739265fb91e72","60ccbffae161aadb1880ad6c","5","S75_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S75_age7_trial5.png","5"
"","3911","image-button-response","10","null","92061","689b8a7a4faa850af7a40460","689ba8feb5f739265fb91e72","60ccbffae161aadb1880ad6c","4","S75_age7_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S75_age7_trial4.png","4"
"","3830","image-button-response","11","null","96403","689b8a7a4faa850af7a40460","689ba8feb5f739265fb91e72","60ccbffae161aadb1880ad6c","5","S79_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S79_age7_trial5.png","4"
"","3815","image-button-response","12","null","100724","689b8a7a4faa850af7a40460","689ba8feb5f739265fb91e72","60ccbffae161aadb1880ad6c","3","S6_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S6_age4_trial3.png","4"
"","9118","image-button-response","13","null","110362","689b8a7a4faa850af7a40460","689ba8feb5f739265fb91e72","60ccbffae161aadb1880ad6c","3","S38_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S38_age5_trial3.png","4"
"","7890","image-button-response","14","null","118762","689b8a7a4faa850af7a40460","689ba8feb5f739265fb91e72","60ccbffae161aadb1880ad6c","5","S97_age8_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S97_age8_trial5.png","3"
"","8877","image-button-response","15","null","128156","689b8a7a4faa850af7a40460","689ba8feb5f739265fb91e72","60ccbffae161aadb1880ad6c","1","S39_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S39_age5_trial1.png","4"
"","4923","image-button-response","16","null","133593","689b8a7a4faa850af7a40460","689ba8feb5f739265fb91e72","60ccbffae161aadb1880ad6c","4","S5_age4_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S5_age4_trial4.png","3"
"","8072","image-button-response","17","null","142175","689b8a7a4faa850af7a40460","689ba8feb5f739265fb91e72","60ccbffae161aadb1880ad6c","5","S38_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S38_age5_trial5.png","4"
"","7722","image-button-response","18","null","150408","689b8a7a4faa850af7a40460","689ba8feb5f739265fb91e72","60ccbffae161aadb1880ad6c","1","S75_age7_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S75_age7_trial1.png","5"
"","2405","image-button-response","19","null","153327","689b8a7a4faa850af7a40460","689ba8feb5f739265fb91e72","60ccbffae161aadb1880ad6c","2","S99_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S99_age8_trial2.png","5"
"","4075","image-button-response","20","null","157922","689b8a7a4faa850af7a40460","689ba8feb5f739265fb91e72","60ccbffae161aadb1880ad6c","1","S55_age6_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S55_age6_trial1.png","5"
"","4069","image-button-response","21","null","162508","689b8a7a4faa850af7a40460","689ba8feb5f739265fb91e72","60ccbffae161aadb1880ad6c","3","S8_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S8_age4_trial3.png","3"
"","5416","image-button-response","22","null","168443","689b8a7a4faa850af7a40460","689ba8feb5f739265fb91e72","60ccbffae161aadb1880ad6c","3","S119_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S119_age9_trial3.png","4"
"","4104","image-button-response","23","null","173058","689b8a7a4faa850af7a40460","689ba8feb5f739265fb91e72","60ccbffae161aadb1880ad6c","5","S4_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S4_age4_trial5.png","3"
"","6076","image-button-response","24","null","179639","689b8a7a4faa850af7a40460","689ba8feb5f739265fb91e72","60ccbffae161aadb1880ad6c","4","S33_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S33_age5_trial4.png","3"
"","4681","image-button-response","25","null","184825","689b8a7a4faa850af7a40460","689ba8feb5f739265fb91e72","60ccbffae161aadb1880ad6c","3","S97_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S97_age8_trial3.png","4"
"","2748","image-button-response","26","null","188078","689b8a7a4faa850af7a40460","689ba8feb5f739265fb91e72","60ccbffae161aadb1880ad6c","2","S57_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S57_age6_trial2.png","5"
"","35137","image-button-response","27","null","223734","689b8a7a4faa850af7a40460","689ba8feb5f739265fb91e72","60ccbffae161aadb1880ad6c","1","S119_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S119_age9_trial1.png","5"
"","4329","image-button-response","28","null","228572","689b8a7a4faa850af7a40460","689ba8feb5f739265fb91e72","60ccbffae161aadb1880ad6c","2","S37_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S37_age5_trial2.png","5"
"","2951","image-button-response","29","null","232039","689b8a7a4faa850af7a40460","689ba8feb5f739265fb91e72","60ccbffae161aadb1880ad6c","5","S98_age8_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S98_age8_trial5.png","5"
"","6012","image-button-response","30","null","238557","689b8a7a4faa850af7a40460","689ba8feb5f739265fb91e72","60ccbffae161aadb1880ad6c","5","S5_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S5_age4_trial5.png","3"
"","4785","image-button-response","31","null","243848","689b8a7a4faa850af7a40460","689ba8feb5f739265fb91e72","60ccbffae161aadb1880ad6c","1","S98_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S98_age8_trial1.png","5"
"","3561","image-button-response","32","null","247914","689b8a7a4faa850af7a40460","689ba8feb5f739265fb91e72","60ccbffae161aadb1880ad6c","3","S120_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S120_age9_trial3.png","5"
"","2552","image-button-response","33","null","251040","689b8a7a4faa850af7a40460","689ba8feb5f739265fb91e72","60ccbffae161aadb1880ad6c","3","S34_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S34_age5_trial3.png","4"
"","5287","image-button-response","34","null","256838","689b8a7a4faa850af7a40460","689ba8feb5f739265fb91e72","60ccbffae161aadb1880ad6c","3","S58_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S58_age6_trial3.png","5"
