view_history,rt,trial_type,trial_index,plugin_version,time_elapsed,study_id,session_id,participant_id,tracing_type,tracing_id,catch_trial,prep_trial,stimulus,response
"[{""page_index"":0,""viewing_time"":6680},{""page_index"":1,""viewing_time"":8232},{""page_index"":2,""viewing_time"":6151},{""page_index"":3,""viewing_time"":5767},{""page_index"":4,""viewing_time"":7633}]",34462,instructions,0,null,34475,689b8a7a4faa850af7a40460,689bc0c26c971dc41a37158a,612039d9400fae9545b3c5a8,,,,,,
,5026,image-button-response,1,null,40507,689b8a7a4faa850af7a40460,689bc0c26c971dc41a37158a,612039d9400fae9545b3c5a8,2,,TRUE,FALSE,stimuli/catch_trials/catch_trial.png,1
,4183,image-button-response,2,null,45191,689b8a7a4faa850af7a40460,689bc0c26c971dc41a37158a,612039d9400fae9545b3c5a8,5,S76_age7_trial5.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S76_age7_trial5.png,4
,5062,image-button-response,3,null,50756,689b8a7a4faa850af7a40460,689bc0c26c971dc41a37158a,612039d9400fae9545b3c5a8,3,S119_age9_trial3.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S119_age9_trial3.png,3
,6732,image-button-response,4,null,57991,689b8a7a4faa850af7a40460,689bc0c26c971dc41a37158a,612039d9400fae9545b3c5a8,3,S38_age5_trial3.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S38_age5_trial3.png,4
,3630,image-button-response,5,null,62123,689b8a7a4faa850af7a40460,689bc0c26c971dc41a37158a,612039d9400fae9545b3c5a8,2,S119_age9_trial2.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S119_age9_trial2.png,5
,3283,image-button-response,6,null,65908,689b8a7a4faa850af7a40460,689bc0c26c971dc41a37158a,612039d9400fae9545b3c5a8,4,S40_age5_trial4.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S40_age5_trial4.png,5
,4761,image-button-response,7,null,71173,689b8a7a4faa850af7a40460,689bc0c26c971dc41a37158a,612039d9400fae9545b3c5a8,5,S6_age4_trial5.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S6_age4_trial5.png,4
,4532,image-button-response,8,null,76208,689b8a7a4faa850af7a40460,689bc0c26c971dc41a37158a,612039d9400fae9545b3c5a8,5,S99_age8_trial5.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S99_age8_trial5.png,5
,4997,image-button-response,9,null,81707,689b8a7a4faa850af7a40460,689bc0c26c971dc41a37158a,612039d9400fae9545b3c5a8,5,S3_age4_trial5.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S3_age4_trial5.png,3
,2064,image-button-response,10,null,84273,689b8a7a4faa850af7a40460,689bc0c26c971dc41a37158a,612039d9400fae9545b3c5a8,2,S80_age7_trial2.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S80_age7_trial2.png,5
,1966,image-button-response,11,null,86741,689b8a7a4faa850af7a40460,689bc0c26c971dc41a37158a,612039d9400fae9545b3c5a8,3,S74_age7_trial3.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S74_age7_trial3.png,5
,2381,image-button-response,12,null,89625,689b8a7a4faa850af7a40460,689bc0c26c971dc41a37158a,612039d9400fae9545b3c5a8,4,S58_age6_trial4.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S58_age6_trial4.png,5
,1428,image-button-response,13,null,91556,689b8a7a4faa850af7a40460,689bc0c26c971dc41a37158a,612039d9400fae9545b3c5a8,2,S93_age8_trial2.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S93_age8_trial2.png,5
,4597,image-button-response,14,null,96655,689b8a7a4faa850af7a40460,689bc0c26c971dc41a37158a,612039d9400fae9545b3c5a8,2,S33_age5_trial2.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S33_age5_trial2.png,2
,2181,image-button-response,15,null,99339,689b8a7a4faa850af7a40460,689bc0c26c971dc41a37158a,612039d9400fae9545b3c5a8,1,S58_age6_trial1.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S58_age6_trial1.png,5
,932,image-button-response,16,null,100773,689b8a7a4faa850af7a40460,689bc0c26c971dc41a37158a,612039d9400fae9545b3c5a8,2,S58_age6_trial2.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S58_age6_trial2.png,5
,4463,image-button-response,17,null,105739,689b8a7a4faa850af7a40460,689bc0c26c971dc41a37158a,612039d9400fae9545b3c5a8,4,S77_age7_trial4.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S77_age7_trial4.png,4
,5498,image-button-response,18,null,111740,689b8a7a4faa850af7a40460,689bc0c26c971dc41a37158a,612039d9400fae9545b3c5a8,4,S93_age8_trial4.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S93_age8_trial4.png,5
,1964,image-button-response,19,null,114207,689b8a7a4faa850af7a40460,689bc0c26c971dc41a37158a,612039d9400fae9545b3c5a8,2,S6_age4_trial2.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S6_age4_trial2.png,4
,1931,image-button-response,20,null,116640,689b8a7a4faa850af7a40460,689bc0c26c971dc41a37158a,612039d9400fae9545b3c5a8,3,S58_age6_trial3.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S58_age6_trial3.png,5
,2131,image-button-response,21,null,119273,689b8a7a4faa850af7a40460,689bc0c26c971dc41a37158a,612039d9400fae9545b3c5a8,3,S99_age8_trial3.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S99_age8_trial3.png,4
,3412,image-button-response,22,null,123189,689b8a7a4faa850af7a40460,689bc0c26c971dc41a37158a,612039d9400fae9545b3c5a8,3,S6_age4_trial3.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S6_age4_trial3.png,3
,1799,image-button-response,23,null,125490,689b8a7a4faa850af7a40460,689bc0c26c971dc41a37158a,612039d9400fae9545b3c5a8,5,S118_age9_trial5.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S118_age9_trial5.png,4
,1529,image-button-response,24,null,127522,689b8a7a4faa850af7a40460,689bc0c26c971dc41a37158a,612039d9400fae9545b3c5a8,3,S118_age9_trial3.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S118_age9_trial3.png,4
,2464,image-button-response,25,null,130488,689b8a7a4faa850af7a40460,689bc0c26c971dc41a37158a,612039d9400fae9545b3c5a8,4,S3_age4_trial4.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S3_age4_trial4.png,2
,2215,image-button-response,26,null,133205,689b8a7a4faa850af7a40460,689bc0c26c971dc41a37158a,612039d9400fae9545b3c5a8,1,S116_age9_trial1.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S116_age9_trial1.png,4
,2349,image-button-response,27,null,136057,689b8a7a4faa850af7a40460,689bc0c26c971dc41a37158a,612039d9400fae9545b3c5a8,4,S115_age9_trial4.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S115_age9_trial4.png,4
,5815,image-button-response,28,null,142374,689b8a7a4faa850af7a40460,689bc0c26c971dc41a37158a,612039d9400fae9545b3c5a8,5,S39_age5_trial5.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S39_age5_trial5.png,2
,1796,image-button-response,29,null,144672,689b8a7a4faa850af7a40460,689bc0c26c971dc41a37158a,612039d9400fae9545b3c5a8,4,S99_age8_trial4.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S99_age8_trial4.png,3
,1766,image-button-response,30,null,146940,689b8a7a4faa850af7a40460,689bc0c26c971dc41a37158a,612039d9400fae9545b3c5a8,1,S114_age9_trial1.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S114_age9_trial1.png,5
,2429,image-button-response,31,null,149872,689b8a7a4faa850af7a40460,689bc0c26c971dc41a37158a,612039d9400fae9545b3c5a8,5,S37_age5_trial5.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S37_age5_trial5.png,5
,2049,image-button-response,32,null,152422,689b8a7a4faa850af7a40460,689bc0c26c971dc41a37158a,612039d9400fae9545b3c5a8,5,S56_age6_trial5.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S56_age6_trial5.png,5
,1165,image-button-response,33,null,154090,689b8a7a4faa850af7a40460,689bc0c26c971dc41a37158a,612039d9400fae9545b3c5a8,2,S55_age6_trial2.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S55_age6_trial2.png,5
,1480,image-button-response,34,null,156072,689b8a7a4faa850af7a40460,689bc0c26c971dc41a37158a,612039d9400fae9545b3c5a8,4,S6_age4_trial4.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S6_age4_trial4.png,1
,2963,image-button-response,35,null,159538,689b8a7a4faa850af7a40460,689bc0c26c971dc41a37158a,612039d9400fae9545b3c5a8,4,S117_age9_trial4.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S117_age9_trial4.png,5
,1598,image-button-response,36,null,161638,689b8a7a4faa850af7a40460,689bc0c26c971dc41a37158a,612039d9400fae9545b3c5a8,1,S97_age8_trial1.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S97_age8_trial1.png,5
,2933,image-button-response,37,null,165074,689b8a7a4faa850af7a40460,689bc0c26c971dc41a37158a,612039d9400fae9545b3c5a8,2,S114_age9_trial2.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S114_age9_trial2.png,5
,1029,image-button-response,38,null,166605,689b8a7a4faa850af7a40460,689bc0c26c971dc41a37158a,612039d9400fae9545b3c5a8,1,S60_age6_trial1.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S60_age6_trial1.png,5
,1115,image-button-response,39,null,168223,689b8a7a4faa850af7a40460,689bc0c26c971dc41a37158a,612039d9400fae9545b3c5a8,2,S74_age7_trial2.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S74_age7_trial2.png,5
,1149,image-button-response,40,null,169873,689b8a7a4faa850af7a40460,689bc0c26c971dc41a37158a,612039d9400fae9545b3c5a8,5,S115_age9_trial5.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S115_age9_trial5.png,5
,1547,image-button-response,41,null,171923,689b8a7a4faa850af7a40460,689bc0c26c971dc41a37158a,612039d9400fae9545b3c5a8,1,S3_age4_trial1.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S3_age4_trial1.png,4
,1131,image-button-response,42,null,173556,689b8a7a4faa850af7a40460,689bc0c26c971dc41a37158a,612039d9400fae9545b3c5a8,1,S93_age8_trial1.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S93_age8_trial1.png,4
,1831,image-button-response,43,null,175889,689b8a7a4faa850af7a40460,689bc0c26c971dc41a37158a,612039d9400fae9545b3c5a8,5,S75_age7_trial5.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S75_age7_trial5.png,5
,1782,image-button-response,44,null,178173,689b8a7a4faa850af7a40460,689bc0c26c971dc41a37158a,612039d9400fae9545b3c5a8,3,S79_age7_trial3.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S79_age7_trial3.png,4
,1149,image-button-response,45,null,179824,689b8a7a4faa850af7a40460,689bc0c26c971dc41a37158a,612039d9400fae9545b3c5a8,3,S97_age8_trial3.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S97_age8_trial3.png,4
,2612,image-button-response,46,null,182938,689b8a7a4faa850af7a40460,689bc0c26c971dc41a37158a,612039d9400fae9545b3c5a8,3,S60_age6_trial3.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S60_age6_trial3.png,4
,1615,image-button-response,47,null,185055,689b8a7a4faa850af7a40460,689bc0c26c971dc41a37158a,612039d9400fae9545b3c5a8,2,S35_age5_trial2.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S35_age5_trial2.png,4
,4550,image-button-response,48,null,190107,689b8a7a4faa850af7a40460,689bc0c26c971dc41a37158a,612039d9400fae9545b3c5a8,4,S56_age6_trial4.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S56_age6_trial4.png,4
