"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response"
"[{""page_index"":0,""viewing_time"":6724},{""page_index"":1,""viewing_time"":5854},{""page_index"":2,""viewing_time"":7744},{""page_index"":3,""viewing_time"":2475},{""page_index"":4,""viewing_time"":11470}]","34267","instructions","0","null","34274","689b8a7a4faa850af7a40460","689bbf6a6c7df5ce7c9417f7","6143af8721d1445864c4f6c8","","","","","",""
"","5516","image-button-response","1","null","40794","689b8a7a4faa850af7a40460","689bbf6a6c7df5ce7c9417f7","6143af8721d1445864c4f6c8","3","S60_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S60_age6_trial3.png","1"
"","1759","image-button-response","2","null","43072","689b8a7a4faa850af7a40460","689bbf6a6c7df5ce7c9417f7","6143af8721d1445864c4f6c8","4","S39_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S39_age5_trial4.png","1"
"","3358","image-button-response","3","null","46937","689b8a7a4faa850af7a40460","689bbf6a6c7df5ce7c9417f7","6143af8721d1445864c4f6c8","4","S56_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S56_age6_trial4.png","3"
"","10802","image-button-response","4","null","58233","689b8a7a4faa850af7a40460","689bbf6a6c7df5ce7c9417f7","6143af8721d1445864c4f6c8","1","S54_age6_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S54_age6_trial1.png","3"
"","1257","image-button-response","5","null","60006","689b8a7a4faa850af7a40460","689bbf6a6c7df5ce7c9417f7","6143af8721d1445864c4f6c8","1","S7_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S7_age4_trial1.png","3"
"","1990","image-button-response","6","null","62499","689b8a7a4faa850af7a40460","689bbf6a6c7df5ce7c9417f7","6143af8721d1445864c4f6c8","3","S93_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S93_age8_trial3.png","2"
"","1760","image-button-response","7","null","64764","689b8a7a4faa850af7a40460","689bbf6a6c7df5ce7c9417f7","6143af8721d1445864c4f6c8","2","S98_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S98_age8_trial2.png","3"
"","4418","image-button-response","8","null","69694","689b8a7a4faa850af7a40460","689bbf6a6c7df5ce7c9417f7","6143af8721d1445864c4f6c8","4","S75_age7_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S75_age7_trial4.png","2"
"","1016","image-button-response","9","null","71211","689b8a7a4faa850af7a40460","689bbf6a6c7df5ce7c9417f7","6143af8721d1445864c4f6c8","3","S4_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S4_age4_trial3.png","2"
