"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response"
"[{""page_index"":0,""viewing_time"":15938},{""page_index"":1,""viewing_time"":8448},{""page_index"":2,""viewing_time"":8742},{""page_index"":3,""viewing_time"":6054},{""page_index"":4,""viewing_time"":9886}]","49068","instructions","0","null","49085","689b8a7a4faa850af7a40460","689ba183a649ae6db34e0b10","6272b9dfc470a51d5fa0e6ea","","","","","",""
"","11608","image-button-response","1","null","61703","689b8a7a4faa850af7a40460","689ba183a649ae6db34e0b10","6272b9dfc470a51d5fa0e6ea","1","S117_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S117_age9_trial1.png","4"
"","10861","image-button-response","2","null","73068","689b8a7a4faa850af7a40460","689ba183a649ae6db34e0b10","6272b9dfc470a51d5fa0e6ea","3","S57_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S57_age6_trial3.png","2"
"","7187","image-button-response","3","null","80770","689b8a7a4faa850af7a40460","689ba183a649ae6db34e0b10","6272b9dfc470a51d5fa0e6ea","5","S94_age8_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S94_age8_trial5.png","4"
"","5971","image-button-response","4","null","87250","689b8a7a4faa850af7a40460","689ba183a649ae6db34e0b10","6272b9dfc470a51d5fa0e6ea","4","S98_age8_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S98_age8_trial4.png","3"
"","4675","image-button-response","5","null","92438","689b8a7a4faa850af7a40460","689ba183a649ae6db34e0b10","6272b9dfc470a51d5fa0e6ea","4","S114_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S114_age9_trial4.png","4"
"","3037","image-button-response","6","null","95994","689b8a7a4faa850af7a40460","689ba183a649ae6db34e0b10","6272b9dfc470a51d5fa0e6ea","5","S34_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S34_age5_trial5.png","2"
"","3499","image-button-response","7","null","100010","689b8a7a4faa850af7a40460","689ba183a649ae6db34e0b10","6272b9dfc470a51d5fa0e6ea","5","S57_age6_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S57_age6_trial5.png","3"
"","8520","image-button-response","8","null","109046","689b8a7a4faa850af7a40460","689ba183a649ae6db34e0b10","6272b9dfc470a51d5fa0e6ea","3","S5_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S5_age4_trial3.png","2"
"","4485","image-button-response","9","null","114046","689b8a7a4faa850af7a40460","689ba183a649ae6db34e0b10","6272b9dfc470a51d5fa0e6ea","2","S95_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S95_age8_trial2.png","4"
"","11021","image-button-response","10","null","125576","689b8a7a4faa850af7a40460","689ba183a649ae6db34e0b10","6272b9dfc470a51d5fa0e6ea","5","S53_age6_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S53_age6_trial5.png","3"
"","3444","image-button-response","11","null","129524","689b8a7a4faa850af7a40460","689ba183a649ae6db34e0b10","6272b9dfc470a51d5fa0e6ea","1","S118_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S118_age9_trial1.png","4"
"","5399","image-button-response","12","null","135434","689b8a7a4faa850af7a40460","689ba183a649ae6db34e0b10","6272b9dfc470a51d5fa0e6ea","2","S5_age4_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S5_age4_trial2.png","2"
"","2799","image-button-response","13","null","138750","689b8a7a4faa850af7a40460","689ba183a649ae6db34e0b10","6272b9dfc470a51d5fa0e6ea","5","S119_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S119_age9_trial5.png","4"
"","5410","image-button-response","14","null","144676","689b8a7a4faa850af7a40460","689ba183a649ae6db34e0b10","6272b9dfc470a51d5fa0e6ea","1","S96_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S96_age8_trial1.png","5"
"","4892","image-button-response","15","null","150074","689b8a7a4faa850af7a40460","689ba183a649ae6db34e0b10","6272b9dfc470a51d5fa0e6ea","4","S77_age7_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S77_age7_trial4.png","3"
"","2731","image-button-response","16","null","153320","689b8a7a4faa850af7a40460","689ba183a649ae6db34e0b10","6272b9dfc470a51d5fa0e6ea","2","S9_age4_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S9_age4_trial2.png","2"
