"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response"
"[{""page_index"":0,""viewing_time"":1875},{""page_index"":1,""viewing_time"":10780},{""page_index"":2,""viewing_time"":17058},{""page_index"":3,""viewing_time"":2614},{""page_index"":4,""viewing_time"":2618}]","34945","instructions","0","null","34953","689b8a7a4faa850af7a40460","689b922df403b09b2cf7b007","63f6ac6d4ce41fa2a87ea79b","","","","","",""
"","5957","image-button-response","1","null","41917","689b8a7a4faa850af7a40460","689b922df403b09b2cf7b007","63f6ac6d4ce41fa2a87ea79b","1","S37_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S37_age5_trial1.png","5"
"","2354","image-button-response","2","null","44790","689b8a7a4faa850af7a40460","689b922df403b09b2cf7b007","63f6ac6d4ce41fa2a87ea79b","3","S40_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S40_age5_trial3.png","4"
"","2382","image-button-response","3","null","47682","689b8a7a4faa850af7a40460","689b922df403b09b2cf7b007","63f6ac6d4ce41fa2a87ea79b","5","S79_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S79_age7_trial5.png","5"
"","3067","image-button-response","4","null","51267","689b8a7a4faa850af7a40460","689b922df403b09b2cf7b007","63f6ac6d4ce41fa2a87ea79b","2","S39_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S39_age5_trial2.png","2"
"","2693","image-button-response","5","null","54464","689b8a7a4faa850af7a40460","689b922df403b09b2cf7b007","63f6ac6d4ce41fa2a87ea79b","1","S54_age6_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S54_age6_trial1.png","2"
"","2542","image-button-response","6","null","57510","689b8a7a4faa850af7a40460","689b922df403b09b2cf7b007","63f6ac6d4ce41fa2a87ea79b","3","S115_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S115_age9_trial3.png","4"
"","2677","image-button-response","7","null","60692","689b8a7a4faa850af7a40460","689b922df403b09b2cf7b007","63f6ac6d4ce41fa2a87ea79b","1","S4_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S4_age4_trial1.png","3"
"","2154","image-button-response","8","null","63356","689b8a7a4faa850af7a40460","689b922df403b09b2cf7b007","63f6ac6d4ce41fa2a87ea79b","1","S9_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S9_age4_trial1.png","2"
"","2256","image-button-response","9","null","66124","689b8a7a4faa850af7a40460","689b922df403b09b2cf7b007","63f6ac6d4ce41fa2a87ea79b","4","S115_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S115_age9_trial4.png","5"
