"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response"
"[{""page_index"":0,""viewing_time"":70218},{""page_index"":1,""viewing_time"":1026},{""page_index"":2,""viewing_time"":3255},{""page_index"":3,""viewing_time"":886},{""page_index"":4,""viewing_time"":866}]","76251","instructions","0","null","76257","689b8a7a4faa850af7a40460","689beb7885a1dccd6cce6e27","66199b3cd796398a2ba74e05","","","","","",""
"","3355","image-button-response","1","null","80623","689b8a7a4faa850af7a40460","689beb7885a1dccd6cce6e27","66199b3cd796398a2ba74e05","5","S98_age8_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S98_age8_trial5.png","4"
"","1838","image-button-response","2","null","82963","689b8a7a4faa850af7a40460","689beb7885a1dccd6cce6e27","66199b3cd796398a2ba74e05","4","S55_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S55_age6_trial4.png","4"
"","1346","image-button-response","3","null","84824","689b8a7a4faa850af7a40460","689beb7885a1dccd6cce6e27","66199b3cd796398a2ba74e05","5","S75_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S75_age7_trial5.png","5"
"","1472","image-button-response","4","null","86799","689b8a7a4faa850af7a40460","689beb7885a1dccd6cce6e27","66199b3cd796398a2ba74e05","2","S35_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S35_age5_trial2.png","5"
"","1190","image-button-response","5","null","88495","689b8a7a4faa850af7a40460","689beb7885a1dccd6cce6e27","66199b3cd796398a2ba74e05","2","S116_age9_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S116_age9_trial2.png","5"
"","1422","image-button-response","6","null","90420","689b8a7a4faa850af7a40460","689beb7885a1dccd6cce6e27","66199b3cd796398a2ba74e05","3","S117_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S117_age9_trial3.png","5"
"","1365","image-button-response","7","null","92287","689b8a7a4faa850af7a40460","689beb7885a1dccd6cce6e27","66199b3cd796398a2ba74e05","1","S115_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S115_age9_trial1.png","5"
"","1348","image-button-response","8","null","94139","689b8a7a4faa850af7a40460","689beb7885a1dccd6cce6e27","66199b3cd796398a2ba74e05","1","S59_age6_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S59_age6_trial1.png","4"
"","1546","image-button-response","9","null","96195","689b8a7a4faa850af7a40460","689beb7885a1dccd6cce6e27","66199b3cd796398a2ba74e05","2","S119_age9_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S119_age9_trial2.png","5"
"","1216","image-button-response","10","null","97927","689b8a7a4faa850af7a40460","689beb7885a1dccd6cce6e27","66199b3cd796398a2ba74e05","5","S77_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S77_age7_trial5.png","5"
"","1475","image-button-response","11","null","99911","689b8a7a4faa850af7a40460","689beb7885a1dccd6cce6e27","66199b3cd796398a2ba74e05","1","S38_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S38_age5_trial1.png","5"
"","2025","image-button-response","12","null","102437","689b8a7a4faa850af7a40460","689beb7885a1dccd6cce6e27","66199b3cd796398a2ba74e05","2","S33_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S33_age5_trial2.png","2"
"","1646","image-button-response","13","null","104590","689b8a7a4faa850af7a40460","689beb7885a1dccd6cce6e27","66199b3cd796398a2ba74e05","2","","true","false","stimuli/catch_trials/catch_trial.png","1"
"","1576","image-button-response","14","null","106679","689b8a7a4faa850af7a40460","689beb7885a1dccd6cce6e27","66199b3cd796398a2ba74e05","4","S53_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S53_age6_trial4.png","4"
"","1429","image-button-response","15","null","108609","689b8a7a4faa850af7a40460","689beb7885a1dccd6cce6e27","66199b3cd796398a2ba74e05","3","S96_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S96_age8_trial3.png","5"
"","1394","image-button-response","16","null","110505","689b8a7a4faa850af7a40460","689beb7885a1dccd6cce6e27","66199b3cd796398a2ba74e05","4","S40_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S40_age5_trial4.png","5"
"","1595","image-button-response","17","null","112602","689b8a7a4faa850af7a40460","689beb7885a1dccd6cce6e27","66199b3cd796398a2ba74e05","1","S74_age7_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S74_age7_trial1.png","5"
"","1722","image-button-response","18","null","114825","689b8a7a4faa850af7a40460","689beb7885a1dccd6cce6e27","66199b3cd796398a2ba74e05","4","S38_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S38_age5_trial4.png","4"
"","1488","image-button-response","19","null","116815","689b8a7a4faa850af7a40460","689beb7885a1dccd6cce6e27","66199b3cd796398a2ba74e05","3","S73_age7_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S73_age7_trial3.png","5"
"","1981","image-button-response","20","null","119297","689b8a7a4faa850af7a40460","689beb7885a1dccd6cce6e27","66199b3cd796398a2ba74e05","3","S59_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S59_age6_trial3.png","2"
"","1201","image-button-response","21","null","121001","689b8a7a4faa850af7a40460","689beb7885a1dccd6cce6e27","66199b3cd796398a2ba74e05","5","S117_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S117_age9_trial5.png","5"
"","1534","image-button-response","22","null","123036","689b8a7a4faa850af7a40460","689beb7885a1dccd6cce6e27","66199b3cd796398a2ba74e05","3","S98_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S98_age8_trial3.png","5"
"","1933","image-button-response","23","null","125470","689b8a7a4faa850af7a40460","689beb7885a1dccd6cce6e27","66199b3cd796398a2ba74e05","3","S57_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S57_age6_trial3.png","3"
"","2423","image-button-response","24","null","128396","689b8a7a4faa850af7a40460","689beb7885a1dccd6cce6e27","66199b3cd796398a2ba74e05","2","S92_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S92_age8_trial2.png","5"
"","2015","image-button-response","25","null","130913","689b8a7a4faa850af7a40460","689beb7885a1dccd6cce6e27","66199b3cd796398a2ba74e05","5","S6_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S6_age4_trial5.png","2"
"","1522","image-button-response","26","null","132942","689b8a7a4faa850af7a40460","689beb7885a1dccd6cce6e27","66199b3cd796398a2ba74e05","2","S77_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S77_age7_trial2.png","5"
"","1291","image-button-response","27","null","134744","689b8a7a4faa850af7a40460","689beb7885a1dccd6cce6e27","66199b3cd796398a2ba74e05","4","S115_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S115_age9_trial4.png","5"
"","1218","image-button-response","28","null","136473","689b8a7a4faa850af7a40460","689beb7885a1dccd6cce6e27","66199b3cd796398a2ba74e05","5","S99_age8_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S99_age8_trial5.png","5"
"","1610","image-button-response","29","null","138585","689b8a7a4faa850af7a40460","689beb7885a1dccd6cce6e27","66199b3cd796398a2ba74e05","1","S9_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S9_age4_trial1.png","2"
"","1467","image-button-response","30","null","140553","689b8a7a4faa850af7a40460","689beb7885a1dccd6cce6e27","66199b3cd796398a2ba74e05","3","S36_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S36_age5_trial3.png","4"
"","1740","image-button-response","31","null","142794","689b8a7a4faa850af7a40460","689beb7885a1dccd6cce6e27","66199b3cd796398a2ba74e05","1","S2_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S2_age4_trial1.png","5"
"","1523","image-button-response","32","null","144825","689b8a7a4faa850af7a40460","689beb7885a1dccd6cce6e27","66199b3cd796398a2ba74e05","3","S9_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S9_age4_trial3.png","2"
"","1593","image-button-response","33","null","146930","689b8a7a4faa850af7a40460","689beb7885a1dccd6cce6e27","66199b3cd796398a2ba74e05","3","S37_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S37_age5_trial3.png","3"
"","1257","image-button-response","34","null","148689","689b8a7a4faa850af7a40460","689beb7885a1dccd6cce6e27","66199b3cd796398a2ba74e05","2","S74_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S74_age7_trial2.png","4"
