"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response"
"[{""page_index"":0,""viewing_time"":12125},{""page_index"":1,""viewing_time"":11623},{""page_index"":2,""viewing_time"":8408},{""page_index"":3,""viewing_time"":4440},{""page_index"":4,""viewing_time"":10849}]","47445","instructions","0","null","47456","689b8a7a4faa850af7a40460","689bed87b7971dedf04de5ef","663176c4d9c9b4d919f7b79e","","","","","",""
"","46983","image-button-response","1","null","95446","689b8a7a4faa850af7a40460","689bed87b7971dedf04de5ef","663176c4d9c9b4d919f7b79e","3","S68_age7_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S68_age7_trial3.png","5"
"","36097","image-button-response","2","null","132054","689b8a7a4faa850af7a40460","689bed87b7971dedf04de5ef","663176c4d9c9b4d919f7b79e","2","S39_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S39_age5_trial2.png","1"
"","26342","image-button-response","3","null","158910","689b8a7a4faa850af7a40460","689bed87b7971dedf04de5ef","663176c4d9c9b4d919f7b79e","1","S35_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S35_age5_trial1.png","4"
"","47254","image-button-response","4","null","206669","689b8a7a4faa850af7a40460","689bed87b7971dedf04de5ef","663176c4d9c9b4d919f7b79e","4","S94_age8_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S94_age8_trial4.png","4"
"","23520","image-button-response","5","null","230702","689b8a7a4faa850af7a40460","689bed87b7971dedf04de5ef","663176c4d9c9b4d919f7b79e","2","S95_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S95_age8_trial2.png","4"
"","36347","image-button-response","6","null","267564","689b8a7a4faa850af7a40460","689bed87b7971dedf04de5ef","663176c4d9c9b4d919f7b79e","4","S70_age7_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S70_age7_trial4.png","4"
"","44709","image-button-response","7","null","312790","689b8a7a4faa850af7a40460","689bed87b7971dedf04de5ef","663176c4d9c9b4d919f7b79e","5","S74_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S74_age7_trial5.png","2"
"","72347","image-button-response","8","null","385653","689b8a7a4faa850af7a40460","689bed87b7971dedf04de5ef","663176c4d9c9b4d919f7b79e","1","S90_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S90_age8_trial1.png","4"
"","54408","image-button-response","9","null","440574","689b8a7a4faa850af7a40460","689bed87b7971dedf04de5ef","663176c4d9c9b4d919f7b79e","2","S94_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S94_age8_trial2.png","4"
