"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response"
"[{""page_index"":0,""viewing_time"":7815},{""page_index"":1,""viewing_time"":5933},{""page_index"":2,""viewing_time"":3281},{""page_index"":3,""viewing_time"":3126},{""page_index"":4,""viewing_time"":3264}]","23419","instructions","0","null","23642","689b8a7a4faa850af7a40460","689c02894f1af7338abf62ca","666c7b666fa83d9dad4c6451","","","","","",""
"","7327","image-button-response","1","null","31975","689b8a7a4faa850af7a40460","689c02894f1af7338abf62ca","666c7b666fa83d9dad4c6451","3","S94_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S94_age8_trial3.png","5"
"","3695","image-button-response","2","null","36171","689b8a7a4faa850af7a40460","689c02894f1af7338abf62ca","666c7b666fa83d9dad4c6451","3","S95_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S95_age8_trial3.png","4"
"","3971","image-button-response","3","null","40643","689b8a7a4faa850af7a40460","689c02894f1af7338abf62ca","666c7b666fa83d9dad4c6451","2","S75_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S75_age7_trial2.png","4"
"","3542","image-button-response","4","null","44687","689b8a7a4faa850af7a40460","689c02894f1af7338abf62ca","666c7b666fa83d9dad4c6451","2","S98_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S98_age8_trial2.png","5"
"","8241","image-button-response","5","null","53442","689b8a7a4faa850af7a40460","689c02894f1af7338abf62ca","666c7b666fa83d9dad4c6451","2","S15_age4_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S15_age4_trial2.png","4"
"","4482","image-button-response","6","null","58425","689b8a7a4faa850af7a40460","689c02894f1af7338abf62ca","666c7b666fa83d9dad4c6451","5","S105_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S105_age9_trial5.png","5"
"","2842","image-button-response","7","null","61768","689b8a7a4faa850af7a40460","689c02894f1af7338abf62ca","666c7b666fa83d9dad4c6451","3","S33_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S33_age5_trial3.png","4"
"","1886","image-button-response","8","null","64156","689b8a7a4faa850af7a40460","689c02894f1af7338abf62ca","666c7b666fa83d9dad4c6451","4","S4_age4_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S4_age4_trial4.png","4"
"","1496","image-button-response","9","null","66153","689b8a7a4faa850af7a40460","689c02894f1af7338abf62ca","666c7b666fa83d9dad4c6451","4","S57_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S57_age6_trial4.png","5"
"","1439","image-button-response","10","null","68093","689b8a7a4faa850af7a40460","689c02894f1af7338abf62ca","666c7b666fa83d9dad4c6451","3","S1_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S1_age4_trial3.png","4"
"","1842","image-button-response","11","null","70444","689b8a7a4faa850af7a40460","689c02894f1af7338abf62ca","666c7b666fa83d9dad4c6451","5","S120_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S120_age9_trial5.png","5"
"","2240","image-button-response","12","null","73186","689b8a7a4faa850af7a40460","689c02894f1af7338abf62ca","666c7b666fa83d9dad4c6451","5","S98_age8_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S98_age8_trial5.png","4"
"","1684","image-button-response","13","null","75371","689b8a7a4faa850af7a40460","689c02894f1af7338abf62ca","666c7b666fa83d9dad4c6451","1","S39_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S39_age5_trial1.png","4"
"","2553","image-button-response","14","null","78428","689b8a7a4faa850af7a40460","689c02894f1af7338abf62ca","666c7b666fa83d9dad4c6451","3","S8_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S8_age4_trial3.png","3"
"","2895","image-button-response","15","null","81825","689b8a7a4faa850af7a40460","689c02894f1af7338abf62ca","666c7b666fa83d9dad4c6451","5","S2_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S2_age4_trial5.png","3"
"","1805","image-button-response","16","null","84131","689b8a7a4faa850af7a40460","689c02894f1af7338abf62ca","666c7b666fa83d9dad4c6451","4","S113_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S113_age9_trial4.png","5"
"","1749","image-button-response","17","null","86382","689b8a7a4faa850af7a40460","689c02894f1af7338abf62ca","666c7b666fa83d9dad4c6451","1","S8_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S8_age4_trial1.png","3"
"","1857","image-button-response","18","null","88741","689b8a7a4faa850af7a40460","689c02894f1af7338abf62ca","666c7b666fa83d9dad4c6451","4","S74_age7_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S74_age7_trial4.png","4"
"","1788","image-button-response","19","null","91039","689b8a7a4faa850af7a40460","689c02894f1af7338abf62ca","666c7b666fa83d9dad4c6451","5","S35_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S35_age5_trial5.png","4"
"","4505","image-button-response","20","null","96046","689b8a7a4faa850af7a40460","689c02894f1af7338abf62ca","666c7b666fa83d9dad4c6451","1","S51_age6_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S51_age6_trial1.png","3"
"","3882","image-button-response","21","null","100429","689b8a7a4faa850af7a40460","689c02894f1af7338abf62ca","666c7b666fa83d9dad4c6451","1","S5_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S5_age4_trial1.png","3"
"","2897","image-button-response","22","null","103830","689b8a7a4faa850af7a40460","689c02894f1af7338abf62ca","666c7b666fa83d9dad4c6451","4","S35_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S35_age5_trial4.png","4"
"","2033","image-button-response","23","null","106374","689b8a7a4faa850af7a40460","689c02894f1af7338abf62ca","666c7b666fa83d9dad4c6451","4","S3_age4_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S3_age4_trial4.png","3"
"","3065","image-button-response","24","null","109944","689b8a7a4faa850af7a40460","689c02894f1af7338abf62ca","666c7b666fa83d9dad4c6451","5","S72_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S72_age7_trial5.png","4"
"","3695","image-button-response","25","null","114140","689b8a7a4faa850af7a40460","689c02894f1af7338abf62ca","666c7b666fa83d9dad4c6451","1","S33_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S33_age5_trial1.png","2"
"","3589","image-button-response","26","null","118232","689b8a7a4faa850af7a40460","689c02894f1af7338abf62ca","666c7b666fa83d9dad4c6451","4","S99_age8_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S99_age8_trial4.png","4"
"","2325","image-button-response","27","null","121067","689b8a7a4faa850af7a40460","689c02894f1af7338abf62ca","666c7b666fa83d9dad4c6451","3","S118_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S118_age9_trial3.png","4"
"","2946","image-button-response","28","null","124523","689b8a7a4faa850af7a40460","689c02894f1af7338abf62ca","666c7b666fa83d9dad4c6451","4","S55_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S55_age6_trial4.png","3"
"","1641","image-button-response","29","null","126664","689b8a7a4faa850af7a40460","689c02894f1af7338abf62ca","666c7b666fa83d9dad4c6451","3","S49_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S49_age6_trial3.png","4"
"","1685","image-button-response","30","null","128852","689b8a7a4faa850af7a40460","689c02894f1af7338abf62ca","666c7b666fa83d9dad4c6451","5","S38_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S38_age5_trial5.png","4"
"","1434","image-button-response","31","null","130792","689b8a7a4faa850af7a40460","689c02894f1af7338abf62ca","666c7b666fa83d9dad4c6451","2","S58_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S58_age6_trial2.png","5"
"","1547","image-button-response","32","null","132841","689b8a7a4faa850af7a40460","689c02894f1af7338abf62ca","666c7b666fa83d9dad4c6451","2","S92_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S92_age8_trial2.png","5"
"","1547","image-button-response","33","null","134890","689b8a7a4faa850af7a40460","689c02894f1af7338abf62ca","666c7b666fa83d9dad4c6451","5","S53_age6_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S53_age6_trial5.png","4"
"","1543","image-button-response","34","null","136948","689b8a7a4faa850af7a40460","689c02894f1af7338abf62ca","666c7b666fa83d9dad4c6451","2","S27_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S27_age5_trial2.png","4"
"","1984","image-button-response","35","null","139441","689b8a7a4faa850af7a40460","689c02894f1af7338abf62ca","666c7b666fa83d9dad4c6451","3","S58_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S58_age6_trial3.png","5"
