"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response"
"[{""page_index"":0,""viewing_time"":12051},{""page_index"":1,""viewing_time"":10932},{""page_index"":2,""viewing_time"":20929},{""page_index"":3,""viewing_time"":10812},{""page_index"":4,""viewing_time"":9781}]","64506","instructions","0","null","64513","689b8a7a4faa850af7a40460","689bcc35c3d7bcc41d91b6b1","6692d2d89afd0ca6187bc086","","","","","",""
"","14218","image-button-response","1","null","79745","689b8a7a4faa850af7a40460","689bcc35c3d7bcc41d91b6b1","6692d2d89afd0ca6187bc086","1","S80_age7_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S80_age7_trial1.png","3"
"","11660","image-button-response","2","null","91911","689b8a7a4faa850af7a40460","689bcc35c3d7bcc41d91b6b1","6692d2d89afd0ca6187bc086","1","S38_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S38_age5_trial1.png","4"
"","9946","image-button-response","3","null","102363","689b8a7a4faa850af7a40460","689bcc35c3d7bcc41d91b6b1","6692d2d89afd0ca6187bc086","3","S57_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S57_age6_trial3.png","2"
"","3464","image-button-response","4","null","106332","689b8a7a4faa850af7a40460","689bcc35c3d7bcc41d91b6b1","6692d2d89afd0ca6187bc086","5","S117_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S117_age9_trial5.png","4"
"","4584","image-button-response","5","null","111425","689b8a7a4faa850af7a40460","689bcc35c3d7bcc41d91b6b1","6692d2d89afd0ca6187bc086","2","S58_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S58_age6_trial2.png","4"
"","4024","image-button-response","6","null","115958","689b8a7a4faa850af7a40460","689bcc35c3d7bcc41d91b6b1","6692d2d89afd0ca6187bc086","4","S77_age7_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S77_age7_trial4.png","4"
"","4178","image-button-response","7","null","120642","689b8a7a4faa850af7a40460","689bcc35c3d7bcc41d91b6b1","6692d2d89afd0ca6187bc086","2","S120_age9_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S120_age9_trial2.png","4"
"","3745","image-button-response","8","null","124895","689b8a7a4faa850af7a40460","689bcc35c3d7bcc41d91b6b1","6692d2d89afd0ca6187bc086","4","S117_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S117_age9_trial4.png","4"
"","2333","image-button-response","9","null","127740","689b8a7a4faa850af7a40460","689bcc35c3d7bcc41d91b6b1","6692d2d89afd0ca6187bc086","4","S93_age8_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S93_age8_trial4.png","4"
