"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response"
"[{""page_index"":0,""viewing_time"":5709},{""page_index"":1,""viewing_time"":5285},{""page_index"":2,""viewing_time"":5749},{""page_index"":3,""viewing_time"":1434},{""page_index"":4,""viewing_time"":4500}]","22677","instructions","0","null","22690","689b8a7a4faa850af7a40460","689bb55ed54b4799570954af","66c09873c30bdebfa67284d8","","","","","",""
"","6143","image-button-response","1","null","29841","689b8a7a4faa850af7a40460","689bb55ed54b4799570954af","66c09873c30bdebfa67284d8","3","S34_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S34_age5_trial3.png","4"
"","3246","image-button-response","2","null","33591","689b8a7a4faa850af7a40460","689bb55ed54b4799570954af","66c09873c30bdebfa67284d8","4","S59_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S59_age6_trial4.png","3"
"","2262","image-button-response","3","null","36357","689b8a7a4faa850af7a40460","689bb55ed54b4799570954af","66c09873c30bdebfa67284d8","1","S114_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S114_age9_trial1.png","5"
"","2215","image-button-response","4","null","39075","689b8a7a4faa850af7a40460","689bb55ed54b4799570954af","66c09873c30bdebfa67284d8","1","S34_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S34_age5_trial1.png","4"
"","2579","image-button-response","5","null","42157","689b8a7a4faa850af7a40460","689bb55ed54b4799570954af","66c09873c30bdebfa67284d8","3","S8_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S8_age4_trial3.png","4"
"","1529","image-button-response","6","null","44189","689b8a7a4faa850af7a40460","689bb55ed54b4799570954af","66c09873c30bdebfa67284d8","5","S60_age6_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S60_age6_trial5.png","5"
"","1815","image-button-response","7","null","46507","689b8a7a4faa850af7a40460","689bb55ed54b4799570954af","66c09873c30bdebfa67284d8","4","S5_age4_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S5_age4_trial4.png","4"
"","1880","image-button-response","8","null","48890","689b8a7a4faa850af7a40460","689bb55ed54b4799570954af","66c09873c30bdebfa67284d8","5","S56_age6_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S56_age6_trial5.png","5"
"","1413","image-button-response","9","null","50807","689b8a7a4faa850af7a40460","689bb55ed54b4799570954af","66c09873c30bdebfa67284d8","3","S94_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S94_age8_trial3.png","5"
"","2662","image-button-response","10","null","53974","689b8a7a4faa850af7a40460","689bb55ed54b4799570954af","66c09873c30bdebfa67284d8","1","S77_age7_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S77_age7_trial1.png","5"
"","1964","image-button-response","11","null","56440","689b8a7a4faa850af7a40460","689bb55ed54b4799570954af","66c09873c30bdebfa67284d8","1","S74_age7_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S74_age7_trial1.png","5"
"","1247","image-button-response","12","null","58191","689b8a7a4faa850af7a40460","689bb55ed54b4799570954af","66c09873c30bdebfa67284d8","5","S77_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S77_age7_trial5.png","5"
"","1112","image-button-response","13","null","59806","689b8a7a4faa850af7a40460","689bb55ed54b4799570954af","66c09873c30bdebfa67284d8","1","S37_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S37_age5_trial1.png","5"
"","1465","image-button-response","14","null","61773","689b8a7a4faa850af7a40460","689bb55ed54b4799570954af","66c09873c30bdebfa67284d8","5","S37_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S37_age5_trial5.png","5"
"","2148","image-button-response","15","null","64424","689b8a7a4faa850af7a40460","689bb55ed54b4799570954af","66c09873c30bdebfa67284d8","4","S76_age7_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S76_age7_trial4.png","5"
"","2731","image-button-response","16","null","67657","689b8a7a4faa850af7a40460","689bb55ed54b4799570954af","66c09873c30bdebfa67284d8","4","S96_age8_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S96_age8_trial4.png","5"
"","3664","image-button-response","17","null","71824","689b8a7a4faa850af7a40460","689bb55ed54b4799570954af","66c09873c30bdebfa67284d8","4","S35_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S35_age5_trial4.png","5"
"","1380","image-button-response","18","null","73707","689b8a7a4faa850af7a40460","689bb55ed54b4799570954af","66c09873c30bdebfa67284d8","2","S93_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S93_age8_trial2.png","5"
"","2814","image-button-response","19","null","77024","689b8a7a4faa850af7a40460","689bb55ed54b4799570954af","66c09873c30bdebfa67284d8","2","S76_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S76_age7_trial2.png","5"
"","1396","image-button-response","20","null","78923","689b8a7a4faa850af7a40460","689bb55ed54b4799570954af","66c09873c30bdebfa67284d8","4","S118_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S118_age9_trial4.png","5"
"","1932","image-button-response","21","null","81357","689b8a7a4faa850af7a40460","689bb55ed54b4799570954af","66c09873c30bdebfa67284d8","3","S4_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S4_age4_trial3.png","5"
