"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response"
"[{""page_index"":0,""viewing_time"":7014},{""page_index"":1,""viewing_time"":7409},{""page_index"":2,""viewing_time"":4739},{""page_index"":3,""viewing_time"":3539},{""page_index"":4,""viewing_time"":9141}]","31843","instructions","0","null","31849","689b8a7a4faa850af7a40460","689bb9bd6fac401e4f643232","66d4712f340d9f18e186d041","","","","","",""
"","6791","image-button-response","1","null","39650","689b8a7a4faa850af7a40460","689bb9bd6fac401e4f643232","66d4712f340d9f18e186d041","5","S99_age8_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S99_age8_trial5.png","3"
"","5090","image-button-response","2","null","45245","689b8a7a4faa850af7a40460","689bb9bd6fac401e4f643232","66d4712f340d9f18e186d041","2","S37_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S37_age5_trial2.png","4"
"","2233","image-button-response","3","null","47982","689b8a7a4faa850af7a40460","689bb9bd6fac401e4f643232","66d4712f340d9f18e186d041","2","S96_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S96_age8_trial2.png","4"
"","3611","image-button-response","4","null","52108","689b8a7a4faa850af7a40460","689bb9bd6fac401e4f643232","66d4712f340d9f18e186d041","4","S2_age4_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S2_age4_trial4.png","2"
"","3527","image-button-response","5","null","56150","689b8a7a4faa850af7a40460","689bb9bd6fac401e4f643232","66d4712f340d9f18e186d041","5","S96_age8_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S96_age8_trial5.png","4"
"","2324","image-button-response","6","null","58982","689b8a7a4faa850af7a40460","689bb9bd6fac401e4f643232","66d4712f340d9f18e186d041","4","S38_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S38_age5_trial4.png","3"
"","4330","image-button-response","7","null","63815","689b8a7a4faa850af7a40460","689bb9bd6fac401e4f643232","66d4712f340d9f18e186d041","5","S120_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S120_age9_trial5.png","3"
"","2713","image-button-response","8","null","67041","689b8a7a4faa850af7a40460","689bb9bd6fac401e4f643232","66d4712f340d9f18e186d041","2","S77_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S77_age7_trial2.png","3"
"","2541","image-button-response","9","null","70085","689b8a7a4faa850af7a40460","689bb9bd6fac401e4f643232","66d4712f340d9f18e186d041","3","S2_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S2_age4_trial3.png","2"
