"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response"
"[{""page_index"":0,""viewing_time"":6088},{""page_index"":1,""viewing_time"":14284},{""page_index"":2,""viewing_time"":5520},{""page_index"":3,""viewing_time"":2988},{""page_index"":4,""viewing_time"":5356}]","34236","instructions","0","null","34253","689b8a7a4faa850af7a40460","689bdcdec39e0a003949b9a0","66f305037af69346a9a55b42","","","","","",""
"","7176","image-button-response","1","null","42441","689b8a7a4faa850af7a40460","689bdcdec39e0a003949b9a0","66f305037af69346a9a55b42","5","S9_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S9_age4_trial5.png","4"
"","2994","image-button-response","2","null","45940","689b8a7a4faa850af7a40460","689bdcdec39e0a003949b9a0","66f305037af69346a9a55b42","2","S93_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S93_age8_trial2.png","5"
"","2203","image-button-response","3","null","48661","689b8a7a4faa850af7a40460","689bdcdec39e0a003949b9a0","66f305037af69346a9a55b42","2","","true","false","stimuli/catch_trials/catch_trial.png","1"
"","2778","image-button-response","4","null","51952","689b8a7a4faa850af7a40460","689bdcdec39e0a003949b9a0","66f305037af69346a9a55b42","3","S9_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S9_age4_trial3.png","4"
"","3874","image-button-response","5","null","56329","689b8a7a4faa850af7a40460","689bdcdec39e0a003949b9a0","66f305037af69346a9a55b42","1","S38_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S38_age5_trial1.png","4"
"","2268","image-button-response","6","null","59108","689b8a7a4faa850af7a40460","689bdcdec39e0a003949b9a0","66f305037af69346a9a55b42","3","S35_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S35_age5_trial3.png","3"
"","1890","image-button-response","7","null","61516","689b8a7a4faa850af7a40460","689bdcdec39e0a003949b9a0","66f305037af69346a9a55b42","5","S92_age8_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S92_age8_trial5.png","4"
"","3896","image-button-response","8","null","65916","689b8a7a4faa850af7a40460","689bdcdec39e0a003949b9a0","66f305037af69346a9a55b42","2","S39_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S39_age5_trial2.png","3"
"","1933","image-button-response","9","null","68352","689b8a7a4faa850af7a40460","689bdcdec39e0a003949b9a0","66f305037af69346a9a55b42","3","S116_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S116_age9_trial3.png","4"
"","1948","image-button-response","10","null","70804","689b8a7a4faa850af7a40460","689bdcdec39e0a003949b9a0","66f305037af69346a9a55b42","1","S2_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S2_age4_trial1.png","5"
"","2848","image-button-response","11","null","74168","689b8a7a4faa850af7a40460","689bdcdec39e0a003949b9a0","66f305037af69346a9a55b42","2","S4_age4_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S4_age4_trial2.png","4"
"","2229","image-button-response","12","null","76908","689b8a7a4faa850af7a40460","689bdcdec39e0a003949b9a0","66f305037af69346a9a55b42","2","S33_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S33_age5_trial2.png","3"
"","2374","image-button-response","13","null","79784","689b8a7a4faa850af7a40460","689bdcdec39e0a003949b9a0","66f305037af69346a9a55b42","4","S94_age8_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S94_age8_trial4.png","5"
"","1954","image-button-response","14","null","82244","689b8a7a4faa850af7a40460","689bdcdec39e0a003949b9a0","66f305037af69346a9a55b42","3","S59_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S59_age6_trial3.png","3"
"","1489","image-button-response","15","null","84240","689b8a7a4faa850af7a40460","689bdcdec39e0a003949b9a0","66f305037af69346a9a55b42","5","S6_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S6_age4_trial5.png","4"
"","1614","image-button-response","16","null","86356","689b8a7a4faa850af7a40460","689bdcdec39e0a003949b9a0","66f305037af69346a9a55b42","1","S9_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S9_age4_trial1.png","4"
"","1752","image-button-response","17","null","88624","689b8a7a4faa850af7a40460","689bdcdec39e0a003949b9a0","66f305037af69346a9a55b42","4","S119_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S119_age9_trial4.png","4"
"","2211","image-button-response","18","null","91348","689b8a7a4faa850af7a40460","689bdcdec39e0a003949b9a0","66f305037af69346a9a55b42","4","S60_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S60_age6_trial4.png","5"
"","6728","image-button-response","19","null","98589","689b8a7a4faa850af7a40460","689bdcdec39e0a003949b9a0","66f305037af69346a9a55b42","3","S92_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S92_age8_trial3.png","5"
"","9827","image-button-response","20","null","108934","689b8a7a4faa850af7a40460","689bdcdec39e0a003949b9a0","66f305037af69346a9a55b42","2","S58_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S58_age6_trial2.png","5"
"","9563","image-button-response","21","null","119012","689b8a7a4faa850af7a40460","689bdcdec39e0a003949b9a0","66f305037af69346a9a55b42","2","S114_age9_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S114_age9_trial2.png","4"
"","14453","image-button-response","22","null","133968","689b8a7a4faa850af7a40460","689bdcdec39e0a003949b9a0","66f305037af69346a9a55b42","4","S115_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S115_age9_trial4.png","4"
"","1848","image-button-response","23","null","136332","689b8a7a4faa850af7a40460","689bdcdec39e0a003949b9a0","66f305037af69346a9a55b42","3","S73_age7_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S73_age7_trial3.png","4"
"","2437","image-button-response","24","null","139271","689b8a7a4faa850af7a40460","689bdcdec39e0a003949b9a0","66f305037af69346a9a55b42","4","S6_age4_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S6_age4_trial4.png","2"
"","1550","image-button-response","25","null","141324","689b8a7a4faa850af7a40460","689bdcdec39e0a003949b9a0","66f305037af69346a9a55b42","4","S54_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S54_age6_trial4.png","4"
"","1970","image-button-response","26","null","143800","689b8a7a4faa850af7a40460","689bdcdec39e0a003949b9a0","66f305037af69346a9a55b42","5","S34_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S34_age5_trial5.png","3"
"","1369","image-button-response","27","null","145680","689b8a7a4faa850af7a40460","689bdcdec39e0a003949b9a0","66f305037af69346a9a55b42","4","S35_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S35_age5_trial4.png","4"
"","2660","image-button-response","28","null","148852","689b8a7a4faa850af7a40460","689bdcdec39e0a003949b9a0","66f305037af69346a9a55b42","5","S55_age6_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S55_age6_trial5.png","4"
"","1693","image-button-response","29","null","151056","689b8a7a4faa850af7a40460","689bdcdec39e0a003949b9a0","66f305037af69346a9a55b42","1","S76_age7_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S76_age7_trial1.png","4"
"","1454","image-button-response","30","null","153012","689b8a7a4faa850af7a40460","689bdcdec39e0a003949b9a0","66f305037af69346a9a55b42","1","S115_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S115_age9_trial1.png","4"
"","2302","image-button-response","31","null","155816","689b8a7a4faa850af7a40460","689bdcdec39e0a003949b9a0","66f305037af69346a9a55b42","3","S6_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S6_age4_trial3.png","3"
"","1520","image-button-response","32","null","157852","689b8a7a4faa850af7a40460","689bdcdec39e0a003949b9a0","66f305037af69346a9a55b42","2","S73_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S73_age7_trial2.png","4"
"","2019","image-button-response","33","null","160384","689b8a7a4faa850af7a40460","689bdcdec39e0a003949b9a0","66f305037af69346a9a55b42","3","S97_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S97_age8_trial3.png","4"
"","1401","image-button-response","34","null","162296","689b8a7a4faa850af7a40460","689bdcdec39e0a003949b9a0","66f305037af69346a9a55b42","3","S115_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S115_age9_trial3.png","4"
"","2029","image-button-response","35","null","164836","689b8a7a4faa850af7a40460","689bdcdec39e0a003949b9a0","66f305037af69346a9a55b42","3","S56_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S56_age6_trial3.png","4"
"","1483","image-button-response","36","null","166832","689b8a7a4faa850af7a40460","689bdcdec39e0a003949b9a0","66f305037af69346a9a55b42","4","S37_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S37_age5_trial4.png","5"
"","2103","image-button-response","37","null","169452","689b8a7a4faa850af7a40460","689bdcdec39e0a003949b9a0","66f305037af69346a9a55b42","1","S39_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S39_age5_trial1.png","3"
