"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response"
"[{""page_index"":0,""viewing_time"":11637},{""page_index"":1,""viewing_time"":9131},{""page_index"":2,""viewing_time"":7948},{""page_index"":3,""viewing_time"":3052},{""page_index"":4,""viewing_time"":8214}]","39982","instructions","0","null","39990","689b8a7a4faa850af7a40460","689bdf6a03562820e7a43dd3","672bf6a8b306f66878d7d5ff","","","","","",""
"","8086","image-button-response","1","null","49084","689b8a7a4faa850af7a40460","689bdf6a03562820e7a43dd3","672bf6a8b306f66878d7d5ff","5","S37_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S37_age5_trial5.png","5"
"","8892","image-button-response","2","null","58488","689b8a7a4faa850af7a40460","689bdf6a03562820e7a43dd3","672bf6a8b306f66878d7d5ff","2","S38_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S38_age5_trial2.png","4"
"","6070","image-button-response","3","null","65072","689b8a7a4faa850af7a40460","689bdf6a03562820e7a43dd3","672bf6a8b306f66878d7d5ff","1","S36_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S36_age5_trial1.png","5"
"","3843","image-button-response","4","null","69420","689b8a7a4faa850af7a40460","689bdf6a03562820e7a43dd3","672bf6a8b306f66878d7d5ff","3","S73_age7_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S73_age7_trial3.png","5"
"","2647","image-button-response","5","null","72572","689b8a7a4faa850af7a40460","689bdf6a03562820e7a43dd3","672bf6a8b306f66878d7d5ff","2","S54_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S54_age6_trial2.png","5"
"","2160","image-button-response","6","null","75243","689b8a7a4faa850af7a40460","689bdf6a03562820e7a43dd3","672bf6a8b306f66878d7d5ff","1","S99_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S99_age8_trial1.png","5"
"","3901","image-button-response","7","null","79659","689b8a7a4faa850af7a40460","689bdf6a03562820e7a43dd3","672bf6a8b306f66878d7d5ff","2","S56_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S56_age6_trial2.png","5"
"","4565","image-button-response","8","null","84754","689b8a7a4faa850af7a40460","689bdf6a03562820e7a43dd3","672bf6a8b306f66878d7d5ff","1","S116_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S116_age9_trial1.png","5"
"","2959","image-button-response","9","null","88216","689b8a7a4faa850af7a40460","689bdf6a03562820e7a43dd3","672bf6a8b306f66878d7d5ff","4","S58_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S58_age6_trial4.png","5"
