"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response"
"[{""page_index"":0,""viewing_time"":427112},{""page_index"":1,""viewing_time"":39990},{""page_index"":2,""viewing_time"":28936},{""page_index"":3,""viewing_time"":15609},{""page_index"":4,""viewing_time"":40127}]","551774","instructions","0","null","551800","689b8a7a4faa850af7a40460","689bcdadb4506c623154a450","67ee8226309b7b9917cd01ab","","","","","",""
"","11625","image-button-response","1","null","564448","689b8a7a4faa850af7a40460","689bcdadb4506c623154a450","67ee8226309b7b9917cd01ab","2","S57_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S57_age6_trial2.png","3"
"","8661","image-button-response","2","null","573631","689b8a7a4faa850af7a40460","689bcdadb4506c623154a450","67ee8226309b7b9917cd01ab","2","S37_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S37_age5_trial2.png","4"
"","4001","image-button-response","3","null","578143","689b8a7a4faa850af7a40460","689bcdadb4506c623154a450","67ee8226309b7b9917cd01ab","5","S3_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S3_age4_trial5.png","1"
"","9644","image-button-response","4","null","588303","689b8a7a4faa850af7a40460","689bcdadb4506c623154a450","67ee8226309b7b9917cd01ab","4","S78_age7_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S78_age7_trial4.png","4"
"","17206","image-button-response","5","null","606025","689b8a7a4faa850af7a40460","689bcdadb4506c623154a450","67ee8226309b7b9917cd01ab","2","S40_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S40_age5_trial2.png","4"
"","10089","image-button-response","6","null","616622","689b8a7a4faa850af7a40460","689bcdadb4506c623154a450","67ee8226309b7b9917cd01ab","2","S9_age4_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S9_age4_trial2.png","3"
"","10696","image-button-response","7","null","627837","689b8a7a4faa850af7a40460","689bcdadb4506c623154a450","67ee8226309b7b9917cd01ab","4","S58_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S58_age6_trial4.png","4"
"","6030","image-button-response","8","null","634376","689b8a7a4faa850af7a40460","689bcdadb4506c623154a450","67ee8226309b7b9917cd01ab","4","S7_age4_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S7_age4_trial4.png","3"
"","10264","image-button-response","9","null","645158","689b8a7a4faa850af7a40460","689bcdadb4506c623154a450","67ee8226309b7b9917cd01ab","5","S118_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S118_age9_trial5.png","2"
"","9952","image-button-response","10","null","655624","689b8a7a4faa850af7a40460","689bcdadb4506c623154a450","67ee8226309b7b9917cd01ab","3","S75_age7_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S75_age7_trial3.png","4"
"","8021","image-button-response","11","null","664166","689b8a7a4faa850af7a40460","689bcdadb4506c623154a450","67ee8226309b7b9917cd01ab","5","S77_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S77_age7_trial5.png","2"
"","5905","image-button-response","12","null","670574","689b8a7a4faa850af7a40460","689bcdadb4506c623154a450","67ee8226309b7b9917cd01ab","5","S56_age6_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S56_age6_trial5.png","3"
"","4152","image-button-response","13","null","675231","689b8a7a4faa850af7a40460","689bcdadb4506c623154a450","67ee8226309b7b9917cd01ab","2","S54_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S54_age6_trial2.png","5"
"","2543","image-button-response","14","null","678278","689b8a7a4faa850af7a40460","689bcdadb4506c623154a450","67ee8226309b7b9917cd01ab","2","","true","false","stimuli/catch_trials/catch_trial.png","3"
"","8406","image-button-response","15","null","687205","689b8a7a4faa850af7a40460","689bcdadb4506c623154a450","67ee8226309b7b9917cd01ab","3","S2_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S2_age4_trial3.png","4"
"","4944","image-button-response","16","null","692661","689b8a7a4faa850af7a40460","689bcdadb4506c623154a450","67ee8226309b7b9917cd01ab","2","S118_age9_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S118_age9_trial2.png","5"
"","5679","image-button-response","17","null","698845","689b8a7a4faa850af7a40460","689bcdadb4506c623154a450","67ee8226309b7b9917cd01ab","3","S37_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S37_age5_trial3.png","2"
"","10465","image-button-response","18","null","709830","689b8a7a4faa850af7a40460","689bcdadb4506c623154a450","67ee8226309b7b9917cd01ab","1","S36_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S36_age5_trial1.png","2"
"","9579","image-button-response","19","null","719917","689b8a7a4faa850af7a40460","689bcdadb4506c623154a450","67ee8226309b7b9917cd01ab","1","S75_age7_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S75_age7_trial1.png","4"
"","6151","image-button-response","20","null","726583","689b8a7a4faa850af7a40460","689bcdadb4506c623154a450","67ee8226309b7b9917cd01ab","4","S119_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S119_age9_trial4.png","3"
"","8671","image-button-response","21","null","735765","689b8a7a4faa850af7a40460","689bcdadb4506c623154a450","67ee8226309b7b9917cd01ab","2","S116_age9_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S116_age9_trial2.png","3"
"","6897","image-button-response","22","null","743167","689b8a7a4faa850af7a40460","689bcdadb4506c623154a450","67ee8226309b7b9917cd01ab","1","S60_age6_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S60_age6_trial1.png","3"
"","3567","image-button-response","23","null","747245","689b8a7a4faa850af7a40460","689bcdadb4506c623154a450","67ee8226309b7b9917cd01ab","1","S119_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S119_age9_trial1.png","4"
