view_history,rt,trial_type,trial_index,plugin_version,time_elapsed,study_id,session_id,participant_id,tracing_type,tracing_id,catch_trial,prep_trial,stimulus,response
"[{""page_index"":0,""viewing_time"":6724},{""page_index"":1,""viewing_time"":5854},{""page_index"":2,""viewing_time"":7744},{""page_index"":3,""viewing_time"":2475},{""page_index"":4,""viewing_time"":11470}]",34267,instructions,0,,34274,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,,,,,,
,5516,image-button-response,1,,40794,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,3.0,S60_age6_trial3.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S60_age6_trial3.png,1.0
,1759,image-button-response,2,,43072,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,4.0,S39_age5_trial4.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S39_age5_trial4.png,1.0
,3358,image-button-response,3,,46937,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,4.0,S56_age6_trial4.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S56_age6_trial4.png,3.0
,10802,image-button-response,4,,58233,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,1.0,S54_age6_trial1.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S54_age6_trial1.png,3.0
,1257,image-button-response,5,,60006,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,1.0,S7_age4_trial1.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S7_age4_trial1.png,3.0
,1990,image-button-response,6,,62499,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,3.0,S93_age8_trial3.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S93_age8_trial3.png,2.0
,1760,image-button-response,7,,64764,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,2.0,S98_age8_trial2.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S98_age8_trial2.png,3.0
,4418,image-button-response,8,,69694,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,4.0,S75_age7_trial4.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S75_age7_trial4.png,2.0
,1016,image-button-response,9,,71211,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,3.0,S4_age4_trial3.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S4_age4_trial3.png,2.0
,829,image-button-response,10,,72548,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,4.0,S5_age4_trial4.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S5_age4_trial4.png,2.0
,1496,image-button-response,11,,74552,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,5.0,S94_age8_trial5.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S94_age8_trial5.png,2.0
,2387,image-button-response,12,,77445,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,1.0,S80_age7_trial1.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S80_age7_trial1.png,2.0
,6870,image-button-response,13,,84826,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,1.0,S6_age4_trial1.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S6_age4_trial1.png,2.0
,1879,image-button-response,14,,87218,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,3.0,S34_age5_trial3.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S34_age5_trial3.png,3.0
,4303,image-button-response,15,,92032,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,2.0,S120_age9_trial2.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S120_age9_trial2.png,2.0
,2307,image-button-response,16,,94845,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,2.0,S4_age4_trial2.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S4_age4_trial2.png,1.0
,1742,image-button-response,17,,97101,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,5.0,S55_age6_trial5.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S55_age6_trial5.png,1.0
,1236,image-button-response,18,,98842,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,3.0,S56_age6_trial3.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S56_age6_trial3.png,1.0
,3875,image-button-response,19,,103228,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,4.0,S60_age6_trial4.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S60_age6_trial4.png,3.0
,779,image-button-response,20,,104523,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,1.0,S33_age5_trial1.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S33_age5_trial1.png,3.0
,1332,image-button-response,21,,106357,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,5.0,S3_age4_trial5.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S3_age4_trial5.png,1.0
,2508,image-button-response,22,,109381,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,4.0,S4_age4_trial4.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S4_age4_trial4.png,2.0
,856,image-button-response,23,,110748,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,5.0,S9_age4_trial5.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S9_age4_trial5.png,2.0
,1681,image-button-response,24,,112939,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,3.0,S73_age7_trial3.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S73_age7_trial3.png,1.0
,1397,image-button-response,25,,114845,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,1.0,S78_age7_trial1.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S78_age7_trial1.png,3.0
,652,image-button-response,26,,116006,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,2.0,S8_age4_trial2.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S8_age4_trial2.png,3.0
,1985,image-button-response,27,,118487,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,5.0,S58_age6_trial5.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S58_age6_trial5.png,3.0
,1460,image-button-response,28,,120464,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,3.0,S94_age8_trial3.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S94_age8_trial3.png,3.0
,1739,image-button-response,29,,122704,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,5.0,S117_age9_trial5.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S117_age9_trial5.png,3.0
,2905,image-button-response,30,,126119,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,5.0,S76_age7_trial5.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S76_age7_trial5.png,2.0
,1981,image-button-response,31,,128604,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,3.0,S119_age9_trial3.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S119_age9_trial3.png,1.0
,928,image-button-response,32,,130046,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,2.0,S55_age6_trial2.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S55_age6_trial2.png,1.0
,1564,image-button-response,33,,132117,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,3.0,S75_age7_trial3.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S75_age7_trial3.png,2.0
,24580,image-button-response,34,,157207,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,3.0,S40_age5_trial3.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S40_age5_trial3.png,3.0
,1484,image-button-response,35,,159206,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,4.0,S37_age5_trial4.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S37_age5_trial4.png,3.0
,2542,image-button-response,36,,162263,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,1.0,S95_age8_trial1.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S95_age8_trial1.png,3.0
,3971,image-button-response,37,,166738,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,2.0,S38_age5_trial2.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S38_age5_trial2.png,2.0
,1388,image-button-response,38,,168627,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,3.0,S5_age4_trial3.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S5_age4_trial3.png,2.0
,827,image-button-response,39,,169962,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,5.0,S40_age5_trial5.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S40_age5_trial5.png,2.0
,2687,image-button-response,40,,173163,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,1.0,S120_age9_trial1.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S120_age9_trial1.png,3.0
,1018,image-button-response,41,,174697,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,1.0,S118_age9_trial1.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S118_age9_trial1.png,3.0
,4767,image-button-response,42,,179967,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,2.0,,True,False,stimuli/catch_trials/catch_trial.png,3.0
,1286,image-button-response,43,,181768,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,2.0,S78_age7_trial2.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S78_age7_trial2.png,3.0
,2375,image-button-response,44,,184656,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,1.0,S98_age8_trial1.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S98_age8_trial1.png,3.0
,675,image-button-response,45,,185835,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,2.0,S40_age5_trial2.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S40_age5_trial2.png,3.0
,21343,image-button-response,46,,207694,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,5.0,S79_age7_trial5.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S79_age7_trial5.png,2.0
,2850,image-button-response,47,,211045,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,5.0,S114_age9_trial5.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S114_age9_trial5.png,4.0
,2297,image-button-response,48,,213845,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,2.0,S79_age7_trial2.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S79_age7_trial2.png,3.0
,545,image-button-response,49,,214896,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,4.0,S98_age8_trial4.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S98_age8_trial4.png,3.0
,1092,image-button-response,50,,216494,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,5.0,S93_age8_trial5.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S93_age8_trial5.png,3.0
,4162,image-button-response,51,,221160,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,4.0,S96_age8_trial4.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S96_age8_trial4.png,4.0
,1510,image-button-response,52,,223180,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,1.0,S56_age6_trial1.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S56_age6_trial1.png,2.0
,1586,image-button-response,53,,225267,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,2.0,S99_age8_trial2.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S99_age8_trial2.png,1.0
,1530,image-button-response,54,,227311,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,4.0,S116_age9_trial4.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S116_age9_trial4.png,1.0
,888,image-button-response,55,,228705,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,2.0,S57_age6_trial2.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S57_age6_trial2.png,1.0
,1612,image-button-response,56,,230825,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,1.0,S34_age5_trial1.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S34_age5_trial1.png,2.0
,2093,image-button-response,57,,233426,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,2.0,S117_age9_trial2.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S117_age9_trial2.png,3.0
,1178,image-button-response,58,,235115,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,4.0,S78_age7_trial4.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S78_age7_trial4.png,3.0
,726,image-button-response,59,,236356,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,3.0,S120_age9_trial3.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S120_age9_trial3.png,3.0
,691,image-button-response,60,,237555,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,4.0,S114_age9_trial4.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S114_age9_trial4.png,3.0
,1868,image-button-response,61,,239930,689b8a7a4faa850af7a40460,689bbf6a6c7df5ce7c9417f7,112,5.0,S33_age5_trial5.png,False,False,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S33_age5_trial5.png,2.0
